"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"28-Feb",0,0,0,0,0,0,0,0.0807346405405405,0,0,0,0,0,0.7217037,0,0,0,0,0,0,0,0,0,0,0,0,2.265478,0,0,0,0,0,0,0,0,0,0,0
"29-Feb",0.1761955,1.761955,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0,0.1761955,0.1761955,0.1761955,0
"1-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Mar",0,0,0,0,4.339361,0,0,0.117280027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Mar",7.614654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Mar",0,0,7.131914,0,0,0,0,0,0,0,0,0.38349,0,0,0,0,0,0,0,2.303351,0,0,0,0,0,0,0,0,0,0,0,3.132929,0,0,0,0,0,0
"5-Mar",0,0,0.416848685714286,0,0.416848685714286,0,0,0,0,0,0,0,0,1.685261,0,0.416848685714286,0,0,0,3.480154,0,0,0,0,0,0,0,0,0,0,0,9.424289,0,0,0,0,0,0
"6-Mar",0,0,0.149291416666667,0.149291416666667,0,0,0,0,0,0,0,0,0,5.374491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Mar",0,0,0,0,0,0,0.0104734027027027,0,0,0,0,0,0,0,0,0,0,0.3875159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Mar",0,0,0,0,0,0,0,0,0,0,0,1.152196,0,0,0,0,0,0,0,0,0,0,0,6.786614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Mar",0,0,0,0,0.597862594594595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.911376,0,0,0,0,0,0,0,0,18.20954,0,0,0,0,0,0
"12-Mar",0,0,0,0,0,0,0,0,0,0,0,0,13.90073,0,0,0,0,0,0,0,0,0,13.38147,0,0,0,0,0,0,0,0,5.350988,0,0,0,0,0,0
"13-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.015592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Mar",8.423164,0,0,0,0.365707027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.107996,0,0,0,0,0,0,0,0,0
"15-Mar",0,0,0.248007486486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.644567,0,0,0,0,0,0,1.53171,0,0
"16-Mar",0,0,0.304945243243243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.447567,0,0,0,4.260526,0,0,0,0,0,0,0,0,0,0,0,0,1.574881,0,0
"17-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129644243243243,0,0,4.796837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Mar",0,0,0,4.939518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Mar",0,0.2485172,0,0,0,0,0,0,0,0,0,0,4.457611,0,0,0,0,0,0,0,0,5.917164,0,0,0,0,0,0,0,0,0,0,0,1.312056,0,0,0,0
"20-Mar",0,0,0,0,0.345915,0,0,0,0,0,0,0,0.2749591,2.108255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Mar",0,0,0,0,3.265824,0,0,0,0,0,7.587557,0,0,0,0,0,0,0,0,0,0,0,10.43712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Mar",0,0,0,0,0,0,0,0,0,0,0,0,11.7101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.211821,0,0,0.5958297,0,3.126494,0,0,0,0,0
"23-Mar",0,0,0,0,0.4041606,0,0,0,0,0,0,0,0,4.874505,0.2811044,0,0,0,0,7.623422,0,0,0,0.3133231,0,0,0,0,0,0,0,0,0,0,0,0,4.848196,0
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,13.92456,0.2836868,0,0,0,0,0,0,0.5138474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.430919,0,0,0,0,0,0,0,0,0,0,0,0,0
