"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"21-Mar",0,0,2.388813,0,0,0,0,0,0,0,0,0,0,10.49523,6.105125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,8.794786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Mar",0,0,0,0,0,8.44108,0,0,0,0,0,0,10.28431,8.499579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661336,0,0,0,0,0,0,0,0
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,15.60155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Mar",0,0,14.33848,0,9.801746,0,0,0,0,0,0,0,0,0,6.445452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.27651,0,0,0,0,0,0,0,0
"26-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.80667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Mar",0,0,0.147041277777778,0,0,0,5.293486,0,0,0,0.147041277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Mar",0,0,0,0,0,0,25.30723,0,0,0,0,0,0,3.209095,0,0,0,0,0,0,0,0,0,0,32.16889,0,18.03255,0,0,6.926594,0,0,0,0,0,0,0,0
"29-Mar",0,0,0,0,0,0.134569216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,4.979061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Mar",0.518213305555556,0,0.518213305555556,0,0,0,14.03591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.619769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-Mar",0,0,1.35968402702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.515542,8.431607,0,15.32483,10.44263,0,0,0,0,0,0,0,0,0,0,13.5937,0,0
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,0.3699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6863,0,0,0,0
"2-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Apr",0,0,0,0,0,0,0,0.285876216216216,0,0,0,0,0,10.57742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Apr",0,0,8.93224502702703,296.481,0,0,0,0,0,0,0,0,0,0,12.64175,0,0,0,0,16.07253,0,5.297786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Apr",0,0,4.781431,0,0,0,1.56848383783784,0,0,0,0,0,0,10.88985,18.26262,0,0,9.883291,0,0,0,0,0,0,0,0,0,0,0,0,0,14.21671,0,0,0,0,0,0
"6-Apr",0,0,0,0,0,0,0.787286166666667,0,0,0,0,0,0.787286166666667,0,0,0,0,0,0,0,0,9.244282,0,0,0,0,0,0,0,0,0,19.09802,0,0,0,0,0,0
"7-Apr",0,0,0,0.332853513513514,0,0,0,0,0,0,0,0,0,0,12.31558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
