"Region","District","Period","start","end"
"Tigray","Ahferom","Endamariam","harvesting","2019-11-24","2019-12-03"
"Tigray","Ahferom","Endamariam","land preparation","2019-01-24","2019-06-23"
"Tigray","Ahferom","Endamariam","planting","2019-06-26","2019-07-13"
"Tigray","Ahferom","Endamariam","flowering","2019-08-23","2019-11-28"
"Tigray","Ahferom","Endamariam","tasseling/seed filling","2019-09-28","2019-10-12"
"Tigray","Ahferom","Endamariam","harvesting","2019-10-26","2019-11-11"
"Tigray","Ahferom","Mezbr","land preparation","2019-03-08","2019-07-03"
"Tigray","Ahferom","Mezbr","planting","2019-07-06","2019-07-23"
"Tigray","Ahferom","Mezbr","flowering","2019-08-24","2019-09-08"
"Tigray","Ahferom","Mezbr","tasseling/seed filling","2019-09-22","2019-09-30"
"Tigray","Ahferom","Mezbr","harvesting","2019-10-28","2019-11-12"
"Tigray","Ahferom","Mezbr","land preparation","2019-01-08","2019-04-08"
"Tigray","Ahferom","Mezbr","planting","2019-05-03","2019-05-23"
"Tigray","Ahferom","Mezbr","flowering","2019-08-24","2019-09-17"
"Tigray","Ahferom","Mezbr","tasseling/seed filling","2019-10-01","2019-10-29"
"Tigray","Ahferom","Mezbr","harvesting","2019-11-25","2019-12-04"
"Tigray","Ahferom","TahtayDaeroka","land preparation","2019-01-02","2019-06-14"
"Tigray","Ahferom","TahtayDaeroka","planting","2019-06-14","2019-07-09"
"Tigray","Ahferom","TahtayDaeroka","flowering","2019-08-24","2019-09-14"
"Tigray","Ahferom","TahtayDaeroka","tasseling/seed filling","2019-08-30","2019-09-05"
"Tigray","Ahferom","TahtayDaeroka","harvesting","2019-10-14","2019-10-26"
"Tigray","Medebay-Zana","Nefasit","land preparation","2019-06-08","2019-07-07"
"Tigray","Medebay-Zana","Nefasit","planting","2019-07-08","2019-07-27"
"Tigray","Medebay-Zana","Nefasit","flowering","2019-09-11","2019-09-27"
"Tigray","Medebay-Zana","Nefasit","tasseling/seed filling","2019-09-28","2019-10-10"
"Tigray","Medebay-Zana","Nefasit","harvesting","2019-10-25","2019-11-30"
"Tigray","Medebay-Zana","Nefasit","land preparation","2019-03-26","2019-05-26"
"Tigray","Medebay-Zana","Nefasit","planting","2019-05-28","2019-06-13"
"Tigray","Medebay-Zana","Nefasit","flowering","2019-08-03","2019-08-22"
"Tigray","Medebay-Zana","Nefasit","tasseling/seed filling","2019-08-23","2019-09-22"
"Tigray","Medebay-Zana","Nefasit","harvesting","2019-10-27","2019-11-10"
"Tigray","Medebay-Zana","Nefasit","land preparation","2019-04-15","2019-06-07"
"Tigray","Medebay-Zana","Nefasit","planting","2019-04-15","2019-06-07"
"Tigray","Medebay-Zana","Nefasit","flowering","2019-08-22","2019-09-05"
"Tigray","Medebay-Zana","Nefasit","tasseling/seed filling","2019-09-11","2019-10-10"
"Tigray","Medebay-Zana","Nefasit","harvesting","2019-10-24","2019-11-29"
"Tigray","Saharti Samre","Nebarhadinet","land preparation","2019-06-07","2019-07-13"
"Tigray","Saharti Samre","Nebarhadinet","planting","2019-07-19","2019-08-06"
"Tigray","Saharti Samre","Nebarhadinet","flowering","2019-08-26","2019-09-12"
"Tigray","Saharti Samre","Nebarhadinet","tasseling/seed filling","2019-09-05","2019-09-16"
