"Region","District","Period","start","end"
"Tigray","Endamekoni","Tahtay haya","planting","2019-07-17","2019-07-29"
"Tigray","Endamekoni","Tahtay haya","flowering","2019-09-02","2019-09-27"
"Tigray","Endamekoni","Tahtay haya","tasseling/seed filling","2019-10-02","2019-10-15"
"Tigray","Endamekoni","Tahtay haya","harvesting","2019-11-14","2019-12-02"
"Tigray","Endamekoni","Mekan","land preparation","2019-01-10","2019-07-13"
"Tigray","Endamekoni","Mekan","planting","2019-07-22","2019-08-01"
"Tigray","Endamekoni","Mekan","flowering","2019-08-21","2019-09-16"
"Tigray","Endamekoni","Mekan","tasseling/seed filling","2019-09-27","2019-10-11"
"Tigray","Endamekoni","Mekan","harvesting","2019-10-31","2019-11-25"
"Tigray","Endamekoni","Mekan","land preparation","2019-01-10","2019-07-07"
"Tigray","Endamekoni","Mekan","planting","2019-07-13","2019-07-22"
"Tigray","Endamekoni","Mekan","flowering","2019-09-05","2019-09-26"
"Tigray","Endamekoni","Mekan","tasseling/seed filling","2019-10-11","2019-10-26"
"Tigray","Endamekoni","Mekan","harvesting","2019-11-16","2019-12-10"
"Tigray","Endamekoni","Hizba Teklehymanot","land preparation","2019-12-25","2020-07-17"
"Tigray","Endamekoni","Hizba Teklehymanot","planting","2019-07-28","2019-08-14"
"Tigray","Endamekoni","Hizba Teklehymanot","flowering","2019-08-31","2019-09-10"
"Tigray","Endamekoni","Hizba Teklehymanot","tasseling/seed filling","2019-09-15","2019-09-26"
"Tigray","Endamekoni","Hizba Teklehymanot","harvesting","2019-10-20","2019-11-14"
"Tigray","Endamekoni","Hizba Teklehymanot","land preparation","2019-12-24","2020-06-22"
"Tigray","Endamekoni","Hizba Teklehymanot","planting","2019-07-08","2019-07-22"
"Tigray","Endamekoni","Hizba Teklehymanot","flowering","2019-09-05","2019-09-20"
"Tigray","Endamekoni","Hizba Teklehymanot","tasseling/seed filling","2019-09-27","2019-10-15"
"Tigray","Endamekoni","Hizba Teklehymanot","harvesting","2019-11-10","2019-11-29"
"Tigray","Emba-Alaje","Tekea","land preparation","2019-01-10","2019-06-07"
"Tigray","Emba-Alaje","Tekea","planting","2019-06-08","2019-08-06"
"Tigray","Emba-Alaje","Tekea","flowering","2019-08-22","2019-09-11"
"Tigray","Emba-Alaje","Tekea","tasseling/seed filling","2019-09-26","2019-10-11"
"Tigray","Emba-Alaje","Tekea","harvesting","2019-10-17","2019-12-10"
"Tigray","Emba-Alaje","Tekea","land preparation","2019-06-08","2019-06-08"
"Tigray","Emba-Alaje","Tekea","planting","2019-06-08","2019-07-07"
"Tigray","Emba-Alaje","Tekea","flowering","2019-08-22","2019-09-27"
"Tigray","Emba-Alaje","Tekea","tasseling/seed filling","2019-09-27","2019-10-12"
"Tigray","Emba-Alaje","Tekea","harvesting","2019-10-28","2019-11-10"
"Tigray","Kilte Awlaelo","Debrebrhan","land preparation","2019-06-08","2019-07-22"
"Tigray","Kilte Awlaelo","Debrebrhan","planting","2019-07-25","2019-08-04"
"Tigray","Kilte Awlaelo","Debrebrhan","flowering","2019-09-12","2019-09-26"
"Tigray","Kilte Awlaelo","Debrebrhan","tasseling/seed filling","2019-09-26","2019-10-26"
"Tigray","Kilte Awlaelo","Debrebrhan","harvesting","2019-11-23","2019-12-02"
"Tigray","Kilte Awlaelo","Debrebrhan","land preparation","2019-03-10","2019-06-22"
"Tigray","Kilte Awlaelo","Debrebrhan","planting","2019-07-05","2019-07-22"
"Tigray","Kilte Awlaelo","Debrebrhan","flowering","2019-08-22","2019-09-11"
"Tigray","Kilte Awlaelo","Debrebrhan","tasseling/seed filling","2019-09-28","2019-10-11"
"Tigray","Kilte Awlaelo","Debrebrhan","harvesting","2019-10-15","2019-12-10"
"Tigray","Kilte Awlaelo","Hayelom","land preparation","2019-06-08","2019-07-20"
"Tigray","Kilte Awlaelo","Hayelom","planting","2019-07-22","2019-08-06"
"Tigray","Kilte Awlaelo","Hayelom","flowering","2019-09-05","2019-09-24"
"Tigray","Kilte Awlaelo","Hayelom","tasseling/seed filling","2019-10-12","2019-10-27"
"Tigray","Kilte Awlaelo","Hayelom","harvesting","2019-10-31","2019-12-10"
"Tigray","Kilte Awlaelo","Hayelom","land preparation","2019-03-10","2019-06-07"
"Tigray","Kilte Awlaelo","Hayelom","planting","2019-06-29","2019-08-06"
"Tigray","Kilte Awlaelo","Hayelom","flowering","2019-08-22","2019-09-05"
"Tigray","Kilte Awlaelo","Hayelom","tasseling/seed filling","2019-09-28","2019-10-11"
"Tigray","Kilte Awlaelo","Hayelom","harvesting","2019-10-15","2019-12-10"
"Tigray","Kilte Awlaelo","Hadnet","land preparation","2019-05-24","2019-07-22"
"Tigray","Kilte Awlaelo","Hadnet","planting","2019-08-01","2019-08-11"
"Tigray","Kilte Awlaelo","Hadnet","flowering","2019-09-28","2019-10-11"
"Tigray","Kilte Awlaelo","Hadnet","tasseling/seed filling","2019-11-05","2019-11-25"
"Tigray","Kilte Awlaelo","Hadnet","harvesting","2019-12-05","2019-12-25"
"Tigray","Kilte Awlaelo","Hadnet","land preparation","2019-03-10","2019-06-17"
"Tigray","Kilte Awlaelo","Hadnet","planting","2019-06-20","2019-08-02"
"Tigray","Kilte Awlaelo","Hadnet","flowering","2019-08-31","2019-09-28"
"Tigray","Kilte Awlaelo","Hadnet","tasseling/seed filling","2019-10-23","2019-11-09"
"Tigray","Kilte Awlaelo","Hadnet","harvesting","2019-11-11","2019-12-15"
"Tigray","Emba-Alaje","Seret","land preparation","2019-01-10","2019-06-23"
"Tigray","Emba-Alaje","Seret","planting","2019-07-30","2019-08-06"
"Tigray","Emba-Alaje","Seret","flowering","2019-09-25","2019-10-10"
"Tigray","Emba-Alaje","Seret","tasseling/seed filling","2019-10-26","2019-11-09"
"Tigray","Emba-Alaje","Seret","harvesting","2019-11-25","2019-12-10"
"Tigray","Emba-Alaje","Seret","land preparation","2019-01-10","2019-06-10"
"Tigray","Emba-Alaje","Seret","planting","2019-06-20","2019-07-08"
"Tigray","Emba-Alaje","Seret","flowering","2019-08-21","2019-09-05"
"Tigray","Emba-Alaje","Seret","tasseling/seed filling","2019-09-26","2019-10-11"
"Tigray","Emba-Alaje","Seret","harvesting","2019-11-26","2020-11-25"
"Tigray","Saharti Samre","Cheli","land preparation","2019-05-09","2019-07-07"
"Tigray","Saharti Samre","Cheli","planting","2019-07-08","2019-07-31"
"Tigray","Saharti Samre","Cheli","flowering","2019-08-22","2019-09-05"
"Tigray","Saharti Samre","Cheli","tasseling/seed filling","2019-09-01","2019-09-16"
"Tigray","Saharti Samre","Cheli","harvesting","2019-10-17","2019-11-10"
"Tigray","Saharti Samre","Cheli","land preparation","2019-02-08","2019-05-08"
"Tigray","Saharti Samre","Cheli","planting","2019-05-09","2019-06-22"
"Tigray","Saharti Samre","Cheli","flowering","2019-08-07","2019-09-05"
"Tigray","Saharti Samre","Cheli","tasseling/seed filling","2019-08-16","2019-09-15"
"Tigray","Saharti Samre","Cheli","harvesting","2019-11-10","2019-12-10"
"Tigray","Saharti-Samre","Esiret","land preparation","2019-03-10","2019-07-07"
"Tigray","Saharti-Samre","Esiret","planting","2019-07-08","2019-08-02"
"Tigray","Saharti-Samre","Esiret","flowering","2019-08-22","2019-08-30"
"Tigray","Saharti-Samre","Esiret","tasseling/seed filling","2019-08-27","2019-09-04"
"Tigray","Saharti-Samre","Esiret","harvesting","2019-10-11","2019-11-10"
"Tigray","Saharti-Samre","Esiret","land preparation","2019-01-09","2019-03-09"
"Tigray","Saharti-Samre","Esiret","planting","2019-05-09","2019-06-22"
"Tigray","Saharti-Samre","Esiret","flowering","2019-08-21","2019-09-27"
"Tigray","Saharti-Samre","Esiret","tasseling/seed filling","2019-08-28","2019-09-10"
"Tigray","Saharti-Samre","Esiret","harvesting","2019-11-11","2019-12-04"
"Tigray","Saharti-Samre","Bamba","land preparation","2019-06-22","2019-07-12"
"Tigray","Saharti-Samre","Bamba","planting","2019-07-13","2019-07-29"
"Tigray","Saharti-Samre","Bamba","flowering","2019-08-21","2019-09-05"
"Tigray","Saharti-Samre","Bamba","tasseling/seed filling","2019-09-04","2019-09-16"
"Tigray","Saharti-Samre","Bamba","harvesting","2019-10-12","2019-10-27"
"Tigray","Saharti-Samre","Bamba","land preparation","2019-03-10","2019-05-13"
"Tigray","Saharti-Samre","Bamba","planting","2019-05-14","2019-06-22"
"Tigray","Saharti-Samre","Bamba","flowering","2019-08-11","2019-09-05"
"Tigray","Saharti-Samre","Bamba","tasseling/seed filling","2019-08-21","2019-09-16"
"Tigray","Saharti-Samre","Bamba","harvesting","2019-11-11","2019-11-23"
"Amhara","Libo Kemkem","Anigot","land preparation","2019-05-09","2019-07-07"
"Amhara","Libo Kemkem","Anigot","planting","2019-07-12","2019-07-28"
"Amhara","Libo Kemkem","Anigot","flowering","2019-09-12","2019-10-11"
"Amhara","Libo Kemkem","Anigot","tasseling/seed filling","2019-10-12","2019-11-10"
"Amhara","Libo Kemkem","Anigot","harvesting","2019-11-11","2019-12-10"
"Amhara","Libo Kemkem","Anigot","land preparation","2019-03-10","2019-05-08"
"Amhara","Libo Kemkem","Anigot","planting","2019-05-09","2020-01-19"
"Amhara","Libo Kemkem","Anigot","flowering","2019-08-23","2020-08-22"
"Amhara","Libo Kemkem","Anigot","tasseling/seed filling","2019-08-27","2019-09-28"
"Amhara","Libo Kemkem","Anigot","harvesting","2019-10-27","2019-11-10"
"Amhara","Libo Kemkem","Anigot","land preparation","2019-04-09","2019-06-07"
"Amhara","Libo Kemkem","Anigot","planting","2019-06-08","2019-07-07"
"Amhara","Libo Kemkem","Anigot","flowering","2019-08-22","2019-09-12"
"Amhara","Libo Kemkem","Anigot","tasseling/seed filling","2019-09-27","2019-10-26"
"Amhara","Libo Kemkem","Anigot","harvesting","2019-11-11","2019-12-10"
"Amhara","Libo Kemkem","Estifanos","land preparation","2019-03-10","2019-07-07"
"Amhara","Libo Kemkem","Estifanos","planting","2019-07-12","2019-08-06"
"Amhara","Libo Kemkem","Estifanos","flowering","2019-09-03","2019-10-01"
"Amhara","Libo Kemkem","Estifanos","tasseling/seed filling","2019-10-02","2019-10-16"
"Amhara","Libo Kemkem","Estifanos","harvesting","2019-10-21","2019-12-10"
"Amhara","Libo Kemkem","Estifanos","land preparation","2019-03-10","2019-05-08"
"Amhara","Libo Kemkem","Estifanos","planting","2019-05-09","2019-06-12"
"Amhara","Libo Kemkem","Estifanos","flowering","2019-08-22","2019-09-05"
"Amhara","Libo Kemkem","Estifanos","tasseling/seed filling","2019-09-12","2019-09-27"
"Amhara","Libo Kemkem","Estifanos","harvesting","2019-10-11","2019-10-31"
"Amhara","Libo Kemkem","Estifanos","land preparation","2019-03-10","2019-05-08"
"Amhara","Libo Kemkem","Estifanos","planting","2019-05-09","2019-06-22"
"Amhara","Libo Kemkem","Estifanos","flowering","2019-09-05","2019-09-27"
"Amhara","Libo Kemkem","Estifanos","tasseling/seed filling","2019-09-27","2019-10-16"
"Amhara","Libo Kemkem","Estifanos","harvesting","2019-11-15","2019-12-10"
"Amhara","Libo Kemkem","Mitad","land preparation","2019-03-10","2019-06-02"
"Amhara","Libo Kemkem","Mitad","planting","2019-06-08","2019-07-12"
"Amhara","Libo Kemkem","Mitad","flowering","2019-08-22","2019-09-05"
"Amhara","Libo Kemkem","Mitad","tasseling/seed filling","2019-09-16","2019-11-11"
"Amhara","Libo Kemkem","Mitad","harvesting","2019-11-11","2019-12-10"
"Amhara","Libo Kemkem","Mitad","land preparation","2019-12-11","2020-05-11"
"Amhara","Libo Kemkem","Mitad","planting","2019-06-08","2019-07-07"
"Amhara","Libo Kemkem","Mitad","flowering","2019-08-21","2019-09-12"
"Amhara","Libo Kemkem","Mitad","tasseling/seed filling","2019-09-26","2019-11-10"
"Amhara","Libo Kemkem","Mitad","harvesting","2019-11-12","2019-12-09"
"Amhara","Libo Kemkem","Agela","land preparation","2019-03-10","2019-06-07"
"Amhara","Libo Kemkem","Agela","planting","2019-07-03","2019-07-22"
"Amhara","Libo Kemkem","Agela","flowering","2019-08-21","2019-09-16"
"Amhara","Libo Kemkem","Agela","tasseling/seed filling","2019-09-26","2019-10-21"
"Amhara","Libo Kemkem","Agela","harvesting","2019-10-26","2019-12-10"
"Amhara","Libo Kemkem","Agela","land preparation","2019-02-18","2019-05-08"
"Amhara","Libo Kemkem","Agela","planting","2019-05-09","2019-05-28"
"Amhara","Libo Kemkem","Agela","flowering","2019-08-07","2019-09-05"
"Amhara","Libo Kemkem","Agela","tasseling/seed filling","2019-09-16","2019-10-01"
"Amhara","Libo Kemkem","Agela","harvesting","2019-10-24","2019-11-10"
"Amhara","Libo Kemkem","shamo","land preparation","2019-01-10","2019-06-23"
"Amhara","Libo Kemkem","shamo","planting","2019-07-08","2019-07-23"
"Amhara","Libo Kemkem","shamo","flowering","2019-09-12","2019-09-27"
"Amhara","Libo Kemkem","shamo","tasseling/seed filling","2019-10-12","2019-10-27"
"Amhara","Libo Kemkem","shamo","harvesting","2019-11-11","2019-12-26"
"Amhara","Libo Kemkem","shamo","land preparation","2019-03-10","2019-05-08"
"Amhara","Libo Kemkem","shamo","planting","2019-05-09","2019-05-24"
"Amhara","Libo Kemkem","shamo","flowering","2019-08-07","2019-08-22"
"Amhara","Libo Kemkem","shamo","tasseling/seed filling","2019-08-27","2019-09-27"
"Amhara","Libo Kemkem","shamo","harvesting","2019-10-27","2019-11-10"
"Amhara","Libo Kemkem","Yifag Akababi","land preparation","2019-03-10","2019-06-07"
"Amhara","Libo Kemkem","Yifag Akababi","planting","2019-06-03","2019-06-12"
"Amhara","Libo Kemkem","Yifag Akababi","flowering","2019-08-06","2019-08-16"
"Amhara","Libo Kemkem","Yifag Akababi","tasseling/seed filling","2019-08-21","2019-09-27"
"Amhara","Libo Kemkem","Yifag Akababi","harvesting","2019-10-17","2019-11-10"
"Amhara","Libo Kemkem","Yifag Akababi","land preparation","2019-03-10","2019-06-17"
"Amhara","Libo Kemkem","Yifag Akababi","planting","2019-06-20","2019-08-07"
"Amhara","Libo Kemkem","Yifag Akababi","flowering","2019-09-21","2019-10-11"
"Amhara","Libo Kemkem","Yifag Akababi","tasseling/seed filling","2019-10-12","2019-11-10"
"Amhara","Libo Kemkem","Yifag Akababi","harvesting","2019-11-11","2019-12-10"
"Amhara","Libo Kemkem","Yifag Akababi","land preparation","2019-05-09","2019-06-07"
"Amhara","Libo Kemkem","Yifag Akababi","planting","2019-06-08","2019-06-23"
"Amhara","Libo Kemkem","Yifag Akababi","flowering","2019-09-27","2019-10-11"
"Amhara","Libo Kemkem","Yifag Akababi","tasseling/seed filling","2019-10-12","2019-11-10"
"Amhara","Libo Kemkem","Yifag Akababi","harvesting","2019-11-11","2019-12-10"
"Amhara","Libo Kemkem","Bilb Wuha","land preparation","2019-12-25","2020-06-06"
"Amhara","Libo Kemkem","Bilb Wuha","planting","2019-06-22","2019-07-07"
"Amhara","Libo Kemkem","Bilb Wuha","flowering","2019-08-11","2019-09-05"
"Amhara","Libo Kemkem","Bilb Wuha","tasseling/seed filling","2019-09-16","2019-10-16"
"Amhara","Libo Kemkem","Bilb Wuha","harvesting","2019-11-10","2019-11-15"
"Amhara","Libo Kemkem","Bilb Wuha","land preparation","2019-12-25","2020-05-28"
"Amhara","Libo Kemkem","Bilb Wuha","planting","2019-06-08","2019-06-22"
"Amhara","Libo Kemkem","Bilb Wuha","flowering","2019-08-21","2019-09-27"
"Amhara","Libo Kemkem","Bilb Wuha","tasseling/seed filling","2019-09-29","2019-10-27"
"Amhara","Libo Kemkem","Bilb Wuha","harvesting","2019-11-15","2019-12-10"
"Amhara","Libo Kemkem","Michel Debre","land preparation","2019-03-10","2019-06-07"
"Amhara","Libo Kemkem","Michel Debre","planting","2019-06-23","2019-07-07"
"Amhara","Libo Kemkem","Michel Debre","flowering","2019-09-12","2019-09-26"
"Amhara","Libo Kemkem","Michel Debre","tasseling/seed filling","2019-10-01","2019-10-11"
"Amhara","Libo Kemkem","Michel Debre","harvesting","2019-11-04","2019-12-10"
"Amhara","Libo Kemkem","Michel Debre","land preparation","2019-12-11","2020-05-08"
"Amhara","Libo Kemkem","Michel Debre","planting","2019-07-14","2020-06-30"
"Amhara","Libo Kemkem","Michel Debre","flowering","2019-08-30","2019-09-21"
"Amhara","Libo Kemkem","Michel Debre","tasseling/seed filling","2019-10-01","2019-10-21"
"Amhara","Libo Kemkem","Michel Debre","harvesting","2019-11-10","2019-12-10"
"Tigray","Endamekoni","Tahtay haya","land preparation","2019-01-10","2019-07-08"
"Tigray","Endamekoni","Tahtay haya","planting","2019-08-01","2019-08-12"
"Tigray","Endamekoni","Tahtay haya","flowering","2019-09-03","2019-09-25"
"Tigray","Endamekoni","Tahtay haya","tasseling/seed filling","2019-09-28","2019-10-25"
"Tigray","Endamekoni","Tahtay haya","harvesting","2019-11-10","2019-12-09"
"Tigray","Endamekoni","Tahtay haya","land preparation","2019-01-10","2019-07-05"
"Tigray","Endamekoni","Tahtay haya","planting","2019-07-17","2019-07-29"
"Tigray","Endamekoni","Tahtay haya","flowering","2019-09-02","2019-09-27"
"Tigray","Endamekoni","Tahtay haya","tasseling/seed filling","2019-10-02","2019-10-15"
"Tigray","Endamekoni","Tahtay haya","harvesting","2019-11-14","2019-12-02"
"Tigray","Alamata","Tao","land preparation","2019-03-08","2019-07-23"
"Tigray","Alamata","Tao","planting","2019-07-25","2019-08-24"
"Tigray","Alamata","Tao","flowering","2019-09-15","2019-09-25"
"Tigray","Alamata","Tao","tasseling/seed filling","2019-10-08","2019-10-23"
"Tigray","Alamata","Tao","harvesting","2019-11-08","2019-12-08"
"Tigray","Alamata","Tao","land preparation","2019-01-21","2019-04-08"
"Tigray","Alamata","Tao","planting","2019-04-10","2019-06-08"
"Tigray","Alamata","Tao","flowering","2019-08-21","2019-09-12"
"Tigray","Alamata","Tao","tasseling/seed filling","2019-09-24","2019-11-08"
"Tigray","Alamata","Tao","harvesting","2019-11-15","2020-01-08"
"Tigray","Ofla","Dinkashena","land preparation","2019-01-11","2019-04-16"
"Tigray","Ofla","Dinkashena","planting","2019-05-08","2019-06-22"
"Tigray","Ofla","Dinkashena","flowering","2019-09-16","2019-10-11"
"Tigray","Ofla","Dinkashena","tasseling/seed filling","2019-10-26","2019-11-16"
"Tigray","Ofla","Dinkashena","harvesting","2019-11-23","2019-12-08"
"Tigray","Ofla","Dinkashena","land preparation","2019-01-11","2019-05-07"
"Tigray","Ofla","Dinkashena","planting","2019-06-28","2019-07-06"
"Tigray","Ofla","Dinkashena","flowering","2019-08-22","2019-09-12"
"Tigray","Ofla","Dinkashena","tasseling/seed filling","2019-09-17","2019-09-26"
"Tigray","Ofla","Dinkashena","harvesting","2019-10-01","2019-10-31"
"Tigray","Ofla","Darubekeda","land preparation","2019-12-14","2020-04-07"
"Tigray","Ofla","Darubekeda","planting","2019-04-22","2019-06-07"
"Tigray","Ofla","Darubekeda","flowering","2019-08-27","2019-09-09"
"Tigray","Ofla","Darubekeda","tasseling/seed filling","2019-10-11","2019-11-11"
"Tigray","Ofla","Darubekeda","harvesting","2019-11-14","2019-12-10"
"Tigray","Ofla","Darubekeda","land preparation","2019-12-14","2020-05-07"
"Tigray","Ofla","Darubekeda","planting","2019-06-28","2019-07-16"
"Tigray","Ofla","Darubekeda","flowering","2019-08-22","2019-09-07"
"Tigray","Ofla","Darubekeda","tasseling/seed filling","2019-09-09","2019-09-17"
"Tigray","Ofla","Darubekeda","harvesting","2019-10-05","2019-11-15"
"Amhara","Libo Kemkem","Wusha Tires","land preparation","2019-04-23","2019-07-07"
"Amhara","Libo Kemkem","Wusha Tires","planting","2019-07-12","2019-08-06"
"Amhara","Libo Kemkem","Wusha Tires","flowering","2019-09-26","2019-10-26"
"Amhara","Libo Kemkem","Wusha Tires","tasseling/seed filling","2019-10-27","2019-11-10"
"Amhara","Libo Kemkem","Wusha Tires","harvesting","2019-11-23","2019-12-26"
"Amhara","Libo Kemkem","Wusha Tires","land preparation","2019-03-10","2019-06-07"
"Amhara","Libo Kemkem","Wusha Tires","planting","2019-06-08","2019-06-22"
"Amhara","Libo Kemkem","Wusha Tires","flowering","2019-09-06","2019-09-26"
"Amhara","Libo Kemkem","Wusha Tires","tasseling/seed filling","2019-09-28","2019-10-10"
"Amhara","Libo Kemkem","Wusha Tires","land preparation","2019-03-10","2019-05-09"
"Amhara","Libo Kemkem","Wusha Tires","planting","2019-05-18","2019-06-07"
"Amhara","Libo Kemkem","Wusha Tires","flowering","2019-09-01","2019-09-26"
"Amhara","Libo Kemkem","Wusha Tires","tasseling/seed filling","2019-09-30","2019-10-16"
"Amhara","Libo Kemkem","Wusha Tires","harvesting","2019-10-31","2019-12-10"
"Amhara","Libo Kemkem","Asta","land preparation","2019-12-11","2020-05-24"
"Amhara","Libo Kemkem","Asta","planting","2019-06-08","2019-06-30"
"Amhara","Libo Kemkem","Asta","flowering","2019-09-05","2019-09-27"
"Amhara","Libo Kemkem","Asta","tasseling/seed filling","2019-09-28","2019-10-21"
"Amhara","Libo Kemkem","Asta","harvesting","2019-10-31","2019-11-26"
"Amhara","Libo Kemkem","Asta","land preparation","2019-12-11","2020-05-08"
"Amhara","Libo Kemkem","Asta","planting","2019-05-09","2019-10-16"
"Amhara","Libo Kemkem","Asta","flowering","2019-08-22","2019-09-26"
"Amhara","Libo Kemkem","Asta","tasseling/seed filling","2019-09-27","2019-10-16"
"Amhara","Libo Kemkem","Asta","harvesting","2019-11-11","2019-12-10"
"Tigray","Kolatemben","Santa gelebeda","land preparation","2019-05-08","2019-06-28"
"Tigray","Kolatemben","Santa gelebeda","planting","2019-01-29","2019-07-24"
"Tigray","Kolatemben","Santa gelebeda","flowering","2019-08-24","2019-09-09"
"Tigray","Kolatemben","Santa gelebeda","tasseling/seed filling","2019-09-10","2019-09-23"
"Tigray","Kolatemben","Santa gelebeda","harvesting","2019-10-09","2019-10-28"
"Tigray","Kolatemben","Santa gelebeda","land preparation","2019-03-09","2019-05-08"
"Tigray","Kolatemben","Santa gelebeda","planting","2019-05-09","2019-06-14"
"Tigray","Kolatemben","Santa gelebeda","flowering","2019-07-09","2019-08-03"
"Tigray","Kolatemben","Santa gelebeda","tasseling/seed filling","2019-08-24","2019-09-09"
"Tigray","Kolatemben","Santa gelebeda","harvesting","2019-09-23","2019-11-09"
"Tigray","Kolatemben","Mtsai werki","land preparation","2019-05-09","2019-06-09"
"Tigray","Kolatemben","Mtsai werki","planting","2019-06-02","2019-07-20"
"Tigray","Kolatemben","Mtsai werki","flowering","2019-08-23","2019-09-08"
"Tigray","Kolatemben","Mtsai werki","tasseling/seed filling","2019-09-24","2019-10-08"
"Tigray","Kolatemben","Mtsai werki","harvesting","2019-10-09","2019-11-08"
"Tigray","Kolatemben","Mtsai werki","land preparation","2019-03-09","2019-04-08"
"Tigray","Kolatemben","Mtsai werki","planting","2019-05-08","2019-06-08"
"Tigray","Kolatemben","Mtsai werki","flowering","2019-08-08","2019-08-23"
"Tigray","Kolatemben","Mtsai werki","tasseling/seed filling","2019-09-09","2019-10-08"
"Tigray","Kolatemben","Mtsai werki","harvesting","2019-10-09","2019-11-08"
"Tigray","Kolatemben","Mtsai werki","land preparation","2019-03-09","2019-04-08"
"Tigray","Kolatemben","Mtsai werki","planting","2019-05-09","2019-06-08"
"Tigray","Kolatemben","Mtsai werki","flowering","2019-08-04","2019-09-08"
"Tigray","Kolatemben","Mtsai werki","tasseling/seed filling","2019-09-09","2019-09-24"
"Tigray","Kolatemben","Mtsai werki","harvesting","2019-11-09","2019-12-08"
"Tigray","Kolatemben","Guroro","land preparation","2019-04-09","2019-05-03"
"Tigray","Kolatemben","Guroro","planting","2019-05-23","2019-06-18"
"Tigray","Kolatemben","Guroro","flowering","2019-08-23","2020-08-08"
"Tigray","Kolatemben","Guroro","tasseling/seed filling","2019-09-09","2019-09-25"
"Tigray","Kolatemben","Guroro","harvesting","2019-10-13","2019-10-28"
"Tigray","Kolatemben","Guroro","land preparation","2019-04-09","2019-05-03"
"Tigray","Kolatemben","Guroro","planting","2019-05-23","2019-06-18"
"Tigray","Kolatemben","Guroro","flowering","2019-09-09","2019-09-25"
"Tigray","Kolatemben","Guroro","tasseling/seed filling","2019-09-08","2019-10-23"
"Tigray","Kolatemben","Guroro","harvesting","2019-11-09","2019-11-28"
"Tigray","Kolatemben","Debrinetseb","land preparation","2019-01-14","2019-03-08"
"Tigray","Kolatemben","Debrinetseb","planting","2019-05-09","2019-05-21"
"Tigray","Kolatemben","Debrinetseb","flowering","2019-08-24","2019-09-08"
"Tigray","Kolatemben","Debrinetseb","tasseling/seed filling","2019-09-09","2019-10-09"
"Tigray","Kolatemben","Debrinetseb","harvesting","2019-10-23","2019-11-08"
"Tigray","Kolatemben","Debrinetseb","land preparation","2019-01-14","2019-03-08"
"Tigray","Kolatemben","Debrinetseb","planting","2019-05-09","2019-05-21"
"Tigray","Kolatemben","Debrinetseb","flowering","2019-09-08","2019-09-24"
"Tigray","Kolatemben","Debrinetseb","tasseling/seed filling","2019-10-18","2019-11-08"
"Tigray","Kolatemben","Debrinetseb","harvesting","2019-11-14","2019-12-08"
"Tigray","Kolatemben","AwetBikalsi","land preparation","2019-05-09","2019-07-05"
"Tigray","Kolatemben","AwetBikalsi","planting","2019-07-09","2019-07-23"
"Tigray","Kolatemben","AwetBikalsi","flowering","2019-08-24","2019-09-09"
"Tigray","Kolatemben","AwetBikalsi","tasseling/seed filling","2019-09-14","2019-09-24"
"Tigray","Kolatemben","AwetBikalsi","harvesting","2019-10-09","2019-10-24"
"Tigray","Kolatemben","AwetBikalsi","land preparation","2019-03-09","2019-04-23"
"Tigray","Kolatemben","AwetBikalsi","planting","2019-05-09","2019-06-29"
"Tigray","Kolatemben","AwetBikalsi","flowering","2019-08-09","2019-08-24"
"Tigray","Kolatemben","AwetBikalsi","tasseling/seed filling","2019-09-09","2019-09-25"
"Tigray","Kolatemben","AwetBikalsi","harvesting","2019-10-09","2019-10-23"
"Tigray","Kolatemben","AwetBikalsi","land preparation","2019-03-09","2019-04-23"
"Tigray","Kolatemben","AwetBikalsi","planting","2019-05-09","2019-06-29"
"Tigray","Kolatemben","AwetBikalsi","flowering","2019-08-09","2019-08-24"
"Tigray","Kolatemben","AwetBikalsi","tasseling/seed filling","2019-09-09","2019-09-25"
"Tigray","Kolatemben","AwetBikalsi","harvesting","2019-10-23","2019-11-08"
"Tigray","Kolatemben","Guya","land preparation","2019-03-09","2019-05-08"
"Tigray","Kolatemben","Guya","planting","2019-05-09","2019-06-20"
"Tigray","Kolatemben","Guya","flowering","2019-08-23","2019-09-08"
"Tigray","Kolatemben","Guya","tasseling/seed filling","2019-09-09","2019-11-07"
"Tigray","Kolatemben","Guya","harvesting","2019-10-09","2019-10-23"
"Tigray","Kolatemben","Guya","land preparation","2019-03-09","2019-04-08"
"Tigray","Kolatemben","Guya","planting","2019-05-09","2019-06-20"
"Tigray","Kolatemben","Guya","flowering","2019-08-23","2019-09-08"
"Tigray","Kolatemben","Guya","tasseling/seed filling","2019-09-09","2019-10-08"
"Tigray","Kolatemben","Guya","harvesting","2019-11-15","2019-11-29"
"Tigray","Kolatemben","Smret","land preparation","2019-02-13","2019-03-23"
"Tigray","Kolatemben","Smret","planting","2019-05-13","2019-06-13"
"Tigray","Kolatemben","Smret","flowering","2019-08-09","2019-09-13"
"Tigray","Kolatemben","Smret","tasseling/seed filling","2019-09-14","2019-09-24"
"Tigray","Kolatemben","Smret","harvesting","2019-10-13","2019-11-08"
"Tigray","Kolatemben","Smret","land preparation","2019-02-13","2019-03-23"
"Tigray","Kolatemben","Smret","planting","2019-05-13","2019-06-13"
"Tigray","Kolatemben","Smret","flowering","2019-08-09","2019-09-13"
