"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"4-Mar",0,0,0,0.05015079,2.552544,0,0,0,0,0,0,0.2005782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.485247,0,0,0,0,0,0
"5-Mar",0,0,0.309647002857143,0,0.309647002857143,0,0,0,0,0,0,0,0,3.032197,0,0.309647002857143,0,0,0,2.034016,0,0,0,0,0,0,0.1460306,0,0,0,0.4662845,5.159117,0,0,0,0,0,0
"6-Mar",0,0,0.0250561522222222,0.0250561522222222,0,0,0.03954318,0,0,0,0,0,0,0.8624783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Mar",0,0,0,0,0.6335064,0,0.0248952616216216,0,0,0,0,0,0,0.2754136,0,0,0,0.01220468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4008886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Mar",2.394103,0,0,0,0,0,0,0,0,0,0,0.175571137837838,0,0,0.1291791,0,0,0,0,0,0,0,3.97285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Mar",0,0,0,0,0,0,0,0,0,0,0,0.7392967,0,0,3.306961,0,0,0,0,0,0,0,0,5.561831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Mar",0,0,0,0,0.165540762162162,0,0,0,0,0,0,0,0,0,0.4746764,0,0,0,0,0,0,0,4.863399,0.7869328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Mar",0,0,0,0,0,0,0.1261729,0,0,0,0.1662528,0,0,0,5.056484,0,0,0,0,0,0,0,7.78876,0,0,0,0,0,0,0,0,6.476336,0,0,0,0,0,0
"13-Mar",0,0,0,0,5.56699,0,0,0,0,0,0,0,0,0,3.293413,0,0,0,0,0,0,0,13.4224,0,0,0,0,0,0.4142157,0,0,18.26916,0,0,0,0,0,0
"14-Mar",5.491434,0,0,0,0.316024772972973,0,0,0,1.03773,0,0,0,0,0,0,0.6608736,0,0,0,0,0,0,0,0,0,0,0,0,4.502879,0,0,0,0,0,0,0,0,0
