"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"20-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Mar",0,0,3.401662,0,0,0,0,0,0,0,9.203816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,5.162399,0,0,0,0,0,7.234228,0,0,0,0,0,0,0,0,0,0,0,0,1.180972,0,0,0,5.376521,0
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,14.04358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.524282,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Mar",0,0,0.224083666666667,0,0,0,2.610718,0,0,0,0.224083666666667,0,0,0,0,5.456294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.377566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Mar",0,0,0,0,0,1.49593851351351,29.74143,0,0,0,0,0,0,0,0,0,0,0,0,18.17976,7.428535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Mar",0.0919309444444444,0,0.0919309444444444,0,0,0,0,0,0,0,0,3.309514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,0.266968351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.877829,0,0,0,0
"2-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Apr",0,0,0,0,0,0,0,0.295339189189189,0,0,0,0,0,0,10.92755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Apr",0,0,0.289160945945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.456511,0,0,0,7.242444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Apr",0,0,0,0,0,0,0.275696297297297,0,0,0,0,0,0,0,0,0,0,6.494371,0,0,0,0,0,0,3.706392,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Apr",0,0,0,0,0,0,0.330317222222222,0,0,0,0,0,0.330317222222222,0,0,0,0,11.89142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Apr",0,0,0,0.0269650918918919,0,0.9977084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Apr",1.87276180555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.779285,0,0,0,58.64014,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87276180555556
"9-Apr",0,0,0,0,0,0,0,0,0,0,3.668315,0,0,0,11.36732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406368513513513
"10-Apr",0,0,0,0,0,0,0,0,0,0,1.332031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.884571,0,0,0,0,0,0,0,0,0,0,0,0.303151405405405
"11-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.648411,0,0,0,0,0,0,0,0,0,0,24.31931,0.836965432432432
"12-Apr",0,4.173751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.371878,0,0.339071054054054
"13-Apr",0,0,0,0,7.440104,0,14.19485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4075743,3.313251,0,0,0,0,0,0,0.685291332432432
"14-Apr",0,0,0,0,29.32688,0,0,0,0,0,0,0,0,4.66798,0,15.99371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.154895,0,0,0,0,0,0,1.46333689189189
"15-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.508451,0,0,0.202931108108108
"16-Apr",0,0,0,28.20107,0,0,12.45126,0,0,0,1.37129202777778,0,3.229122,0,0,0,0,5.485061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37129202777778
"17-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.763269,0,0,0,0.6464373,0,0,0,0,0,4.450741,0,0,27.10191,0,0,0,0,0,0,0.971955602702703
"18-Apr",0,0,0,0,0,5.942343,0,0,0,5.440635,0,0,0,0,0,0,0,0,0,0,0,0,0.402459538888889,2.125243,0,0,0,0,0,0,0,0,0,0,0,0,0.9803224,0.402459538888889
"19-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Apr",0,0,3.480022,0,0,0,0,0,0,0,0,0,0,0,1.763013,0.145639861111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145639861111111
"21-Apr",2.102908,0,5.685547,0,1.10965336111111,0,0,0,0,0,0,0,6.425596,0,0,0,0,0,0,0,0,0,25.73347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10965336111111
"22-Apr",0,0,106.5137,0,3.12965908333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.154027,3.12965908333333
"23-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.794305,0,0,0,0,2.389699,0,0,0,0,0,0,0,0,2.455227,0,0,0,0,0,0.341600837837838
"24-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Apr",0.346560694444444,0,0,0,0,0,0,0,0,0,2.292965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18322,0,0,0,0,0,0.346560694444444
"26-Apr",0.4069086,0,0,0,0,0,0.4069086,0,0,0,10.27332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.968481,0,0,0,0,0,0.4069086
"27-Apr",0.366530105882353,0,0.366530105882353,0,0,0,0.366530105882353,12.16242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2996036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366530105882353
"28-Apr",0.948146617647059,0,0.948146617647059,0,0,0,0.948146617647059,14.9205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.415649,0,0,0,0,0,0,0,0,7.900836,0,0,0,0,0,0.948146617647059
"29-Apr",0.4820104,0,0.4820104,0,0,0,0,0,0,0,0,0,0,0,0,0,4.860238,0,0,0,0,0,0,0,3.242783,0,0,0,0,0,0,2.116229,0,0,6.651114,0,0,0.4820104
"30-Apr",0.579058138888889,0,6.44928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.539225,0,0,0,0,0,0,7.857588,0,0,0.579058138888889
"1-May",0,0,10.94645,0.990008666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90544,0,0,0,0,0,0,9.308852,0,10.47957,0,0,0,0,0,0,0,0,0,0.990008666666667
"2-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.514108,0,0,0,0,0,0,0,0,0,0,0,2.553751,0,0,0,0,0,0,0,0,0,0.272104297297297
