"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2-Mar",12.52807,0,0,0,0,0,0,0.338596486486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.152833,0,0,0,0,0,0
"5-Mar",0,1.363816,0.297069114285714,0,0.297069114285714,0,0,0,0,0,0,0,0,0,0,0.297069114285714,0,0,0,2.790866,0,0,0,0,0,0,0,0,0,6.242737,0,0,0,0,0,0,0,0
"6-Mar",0,0,0.0363877861111111,0.0363877861111111,0,0,0,0,0,0,0,0,0,1.066706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2432543,0,0,0,0,0,0,0
"7-Mar",0,0,0,0,0,0,0.0298234864864865,0,0,0,0,0,0,0,0,0,0,1.103469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Mar",0,0,0,0,0,0,0,0,0,0,0,0.0173579189189189,0,0,0.642243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746297,0,0,5.428608,0,0,0,0,0,0
"11-Mar",0,0,0,0,0.472146918918919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213986,0,0,16.25545,0,0,0,0,0,0
"12-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.872518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Mar",0,0,0,0,0,0,1.266169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53149,0,0,0,0,0,0,0,0.7676203,9.311667,0,0,0,0,0,0
"14-Mar",0,0,0,0,0.231990913513514,0,0,0,0,0,0,0,0,0,8.153967,0,0,0,0,0,0,0,0,0,0.4296968,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-Mar",0,0,0.15921727027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.891039,0,0,0,0,0,0,0,0,0
"16-Mar",0,0,0.0131213027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4854882,0,0,0,0,0,0,0,0,0
"17-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163235675675676,0,0,0,0,0,0,0,0,0,0,6.03972,0,0,0,0,0,0,0,0,0,0,0
"18-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0.3682504,0,0,0,0,0,0,0,0,0,0,0.6272901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4178158,0,0,0,3.159944,0,0,0,0.3847312
"20-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885606,0,0,0,0,0,0
"21-Mar",0,0,7.596111,0,0,0,0,0,0,0.3597518,0,0,0,7.227567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Mar",0,0,0.2867747,0.4783759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.834949,0,0,0,0,0,0,0,0,0,0
"23-Mar",0,0,0,0,0,0,0,0,0,0,0,0,7.350613,2.357142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Mar",0,0,0,0,0,0,0,0,0,0,15.86074,0,0.9943206,16.04627,0,0,0,0,0,0,0,1.338746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Mar",2.35813,0,2.305011,1.406752,0,0,0,0,0,0,0,0,0.3708645,0,0,8.115223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0.3867593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Mar",0,0,0,0,0,0.441865135135135,16.34901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Mar",0.239551902777778,0,0.239551902777778,0,0,0,0.4166855,0,0,0,0,0,0,1.879621,0,0,0,0,0,2.809644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.517918,0,0
"31-Mar",0,0,0.0301744810810811,0,0,0,0,0,0,0,0,0.4987997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6176561,0,0,0,0
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,0.0516837621621622,0,0,0,1.104441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8078582,0,0,0
"2-Apr",1.519061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.124493,0,0,0,0,0,0,0,0,0,0.4282118,0,0
"3-Apr",0,0,0,0,0,0,0.3054306,0.474146575675676,0,0,0,0,0,0.2422927,12.86118,0,0,0,0,0,0,0,0,0,1.83011,0,0,0,0,0,0,0,0,0,0,2.30441,0,0
"4-Apr",0,0,0.146520945945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.009833,0,0,0,3.411442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
