"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AgazenMeda","0.03","0.88","0.84","0.69","0.44","0.56","0.31","0.53","0.06","0.16","0.38","1","0.72","0.47","0.19","0.41","0.34","0.25","0.12","0.09","0.22","0.28","0.91","0.5","0.94","0.97","0.66","0.81","0.78","0.59","0.62","0.75",,,,,
"Agazi","0.06","0.09","0.41","0.31","0.03","0.44","0.75","0.12","0.25","0.53","0.69","0.81","0.59","0.56","0.34","0.97","0.84","0.47","0.19","0.16","0.62","0.22","0.5","0.94","1","0.91","0.72","0.88","0.28","0.38","0.78","0.66",,,,,
"Agbe","0.03","0.28","0.62","0.34","0.19","0.41","0.66","0.09","0.06","0.59","0.75","0.81","0.94","0.53","0.5","0.91","0.88","0.25","0.56","0.12","0.44","0.22","0.72","0.78","1","0.84","0.31","0.97","0.16","0.47","0.69","0.38",,,,,
"Agela","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Agid","0.03","0.09","0.47","0.69","0.22","0.53","0.25","0.16","0.12","0.41","0.66","0.94","0.88","0.44","0.59","0.72","0.97","0.56","0.34","0.06","0.62","0.19","0.28","0.5","1","0.91","0.31","0.84","0.75","0.78","0.38","0.81",,,,,
"AlemeTesfa","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"AmdiWeyane","0.06","0.16","0.62","0.41","0.12","0.31","0.69","0.19","0.03","0.38","0.5","0.91","0.84","0.78","0.56","0.75","0.94","0.28","0.34","0.09","0.25","0.22","0.72","0.81","1","0.88","0.59","0.97","0.53","0.47","0.66","0.44",,,,,
"Amedwuha","0.06","0.5","0.56","0.34","0.03","0.75","0.62","0.59","0.41","0.44","0.12","0.84","0.78","0.25","0.16","0.88","1","0.81","0.19","0.09","0.53","0.22","0.66","0.69","0.97","0.91","0.31","0.94","0.47","0.38","0.72","0.28",,,,,
"Ameno","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Amisetya","0.03","0.16","0.22","0.59","0.12","0.34","0.97","0.5","0.19","0.28","0.62","0.88","0.47","0.38","0.31","0.81","0.94","0.41","0.09","0.06","0.56","0.25","0.66","0.69","1","0.91","0.44","0.84","0.72","0.53","0.78","0.75",,,,,
"Angot","0.03","0.88","0.84","0.69","0.44","0.56","0.31","0.53","0.06","0.16","0.38","1","0.72","0.47","0.19","0.41","0.34","0.25","0.12","0.09","0.22","0.28","0.91","0.5","0.94","0.97","0.66","0.81","0.78","0.59","0.62","0.75",,,,,
"Anigot","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Ansheb","0.09","0.94","0.78","0.97","0.31","0.44","0.72","0.56","0.25","0.12","0.41","1","0.38","0.84","0.22","0.19","0.16","0.34","0.06","0.03","0.47","0.28","0.91","0.53","0.81","0.59","0.75","0.62","0.88","0.66","0.5","0.69",,,,,
"AquaShumoch","0.03","0.31","0.28","0.69","0.09","0.16","0.84","0.47","0.12","0.5","0.41","0.94","0.75","0.66","0.22","0.81","1","0.38","0.25","0.06","0.59","0.44","0.62","0.88","0.97","0.91","0.56","0.78","0.34","0.53","0.72","0.19",,,,,
"Aquha","0.03","0.16","0.22","0.59","0.12","0.34","0.97","0.5","0.19","0.28","0.62","0.88","0.47","0.38","0.31","0.81","0.94","0.41","0.09","0.06","0.56","0.25","0.66","0.69","1","0.91","0.44","0.84","0.72","0.53","0.78","0.75",,,,,
"Arena","0.09","0.12","0.66","0.38","0.03","0.62","0.5","0.06","0.19","0.34","0.69","0.81","0.78","0.72","0.31","0.94","0.91","0.28","0.25","0.16","0.41","0.22","0.59","0.84","1","0.88","0.47","0.97","0.44","0.53","0.75","0.56",,,,,
"Asmena","0.06","0.09","0.41","0.31","0.03","0.44","0.75","0.12","0.25","0.53","0.69","0.81","0.59","0.56","0.34","0.97","0.84","0.47","0.19","0.16","0.62","0.22","0.5","0.94","1","0.91","0.72","0.88","0.28","0.38","0.78","0.66",,,,,
"Asta","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Atakilti","0.03","0.12","0.66","0.38","0.19","0.41","0.31","0.25","0.06","0.47","0.53","0.81","0.75","0.72","0.28","0.94","0.91","0.62","0.22","0.09","0.5","0.16","0.44","0.78","1","0.88","0.56","0.97","0.34","0.59","0.69","0.84",,,,,
"AwetBikalsi","0.03","0.28","0.62","0.34","0.19","0.41","0.66","0.09","0.06","0.59","0.75","0.81","0.94","0.53","0.5","0.91","0.88","0.25","0.56","0.12","0.44","0.22","0.72","0.78","1","0.84","0.31","0.97","0.16","0.47","0.69","0.38",,,,,
"AwusaMeda","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"Ayba","0.12","0.31","0.66","0.56","0.03","0.5","0.59","0.44","0.28","0.34","0.06","0.69","0.84","0.62","0.25","0.91","1","0.22","0.19","0.09","0.47","0.16","0.75","0.81","0.97","0.88","0.53","0.94","0.72","0.41","0.78","0.38",,,,,
"Aynalem","0.03","0.09","0.56","0.38","0.06","0.5","0.66","0.22","0.16","0.53","0.75","0.88","1","0.34","0.28","0.78","0.84","0.19","0.47","0.12","0.59","0.25","0.62","0.81","0.97","0.94","0.41","0.91","0.44","0.31","0.72","0.69",,,,,
"Bala","0.16","0.5","0.47","0.44","0.12","0.62","0.41","0.59","0.25","0.38","0.09","0.97","0.31","0.34","0.06","1","0.53","0.28","0.19","0.03","0.69","0.22","0.88","0.81","0.84","0.78","0.56","0.91","0.72","0.75","0.94","0.66",,,,,
"Balarab","0.03","0.16","0.22","0.59","0.12","0.34","0.97","0.5","0.19","0.28","0.62","0.88","0.47","0.38","0.31","0.81","0.94","0.41","0.09","0.06","0.56","0.25","0.66","0.69","1","0.91","0.44","0.84","0.72","0.53","0.78","0.75",,,,,
"Bamba","0.06","0.16","0.62","0.41","0.12","0.31","0.69","0.19","0.03","0.38","0.5","0.91","0.84","0.78","0.56","0.75","0.94","0.28","0.34","0.09","0.25","0.22","0.72","0.81","1","0.88","0.59","0.97","0.53","0.47","0.66","0.44",,,,,
"BarkaAdiswha","0.03","0.09","0.56","0.38","0.06","0.5","0.66","0.22","0.16","0.53","0.75","0.88","1","0.34","0.28","0.78","0.84","0.19","0.47","0.12","0.59","0.25","0.62","0.81","0.97","0.94","0.41","0.91","0.44","0.31","0.72","0.69",,,,,
"Begasheka","0.03","0.12","0.66","0.38","0.19","0.41","0.31","0.25","0.06","0.47","0.53","0.81","0.75","0.72","0.28","0.94","0.91","0.62","0.22","0.09","0.5","0.16","0.44","0.78","1","0.88","0.56","0.97","0.34","0.59","0.69","0.84",,,,,
"Berlay","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"Betgebez","0.31","0.09","0.47","0.53","0.06","0.41","0.62","0.03","0.12","0.34","0.91","0.78","0.59","0.72","0.44","0.97","0.84","0.28","0.22","0.16","0.5","0.19","0.66","0.81","1","0.94","0.56","0.88","0.25","0.38","0.75","0.69",,,,,
"Bethans","0.22","0.03","0.47","0.5","0.06","0.66","0.75","0.12","0.25","0.38","0.59","0.88","0.44","0.62","0.28","0.97","0.69","0.31","0.19","0.09","0.78","0.16","0.91","0.72","1","0.84","0.56","0.94","0.34","0.41","0.53","0.81",,,,,
"BilbWuha","0.09","0.06","0.28","0.78","0.19","0.31","0.69","0.03","0.16","0.59","0.56","0.91","0.81","0.66","0.5","0.72","0.97","0.34","0.22","0.12","0.38","0.25","0.53","0.88","1","0.94","0.44","0.84","0.75","0.62","0.47","0.41",,,,,
"Birkutea","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Boneya","0.03","0.97","0.66","0.53","0.41","0.84","0.69","0.81","0.25","0.16","0.38","1","0.34","0.94","0.12","0.19","0.28","0.31","0.09","0.06","0.44","0.22","0.78","0.88","0.91","0.56","0.5","0.72","0.75","0.47","0.62","0.59",,,,,
"Burkoche","0.03","0.16","0.22","0.59","0.12","0.34","0.97","0.5","0.19","0.28","0.62","0.88","0.47","0.38","0.31","0.81","0.94","0.41","0.09","0.06","0.56","0.25","0.66","0.69","1","0.91","0.44","0.84","0.72","0.53","0.78","0.75",,,,,
"Cheli","0.06","0.16","0.62","0.41","0.12","0.31","0.69","0.19","0.03","0.38","0.5","0.91","0.84","0.78","0.56","0.75","0.94","0.28","0.34","0.09","0.25","0.22","0.72","0.81","1","0.88","0.59","0.97","0.53","0.47","0.66","0.44",,,,,
"Darubekeda","0.03","0.31","0.56","0.41","0.06","0.69","0.34","0.47","0.38","0.44","0.19","0.78","0.59","0.25","0.16","0.97","0.94","0.22","0.12","0.09","0.5","0.28","0.91","0.66","1","0.84","0.62","0.88","0.75","0.72","0.81","0.53",,,,,
"Deberkerbye","0.03","0.09","0.75","0.72","0.28","0.47","0.5","0.19","0.06","0.34","0.44","0.66","0.62","0.69","0.22","1","0.94","0.31","0.25","0.16","0.53","0.12","0.81","0.84","0.97","0.91","0.59","0.88","0.38","0.41","0.56","0.78",,,,,
"DeberAbaJale","0.03","0.31","0.28","0.69","0.09","0.16","0.84","0.47","0.12","0.5","0.41","0.94","0.75","0.66","0.22","0.81","1","0.38","0.25","0.06","0.59","0.44","0.62","0.88","0.97","0.91","0.56","0.78","0.34","0.53","0.72","0.19",,,,,
"DebrAbay","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"DebreAliays","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"Debrebirhan","0.06","0.09","0.62","0.34","0.03","0.41","0.72","0.16","0.19","0.44","0.66","0.78","0.69","0.5","0.31","0.97","0.94","0.38","0.25","0.12","0.59","0.22","0.47","0.88","1","0.84","0.56","0.91","0.28","0.53","0.81","0.75",,,,,
"Debrebrhan","0.09","0.31","0.53","0.59","0.12","0.16","0.66","0.06","0.03","0.56","0.62","0.84","0.81","0.75","0.38","0.91","0.94","0.19","0.25","0.28","0.47","0.22","0.72","0.78","1","0.88","0.69","0.97","0.34","0.41","0.44","0.5",,,,,
"DebreGenet","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"DebreGenetA","0.22","0.03","0.47","0.5","0.06","0.66","0.75","0.12","0.25","0.38","0.59","0.88","0.44","0.62","0.28","0.97","0.69","0.31","0.19","0.09","0.78","0.16","0.91","0.72","1","0.84","0.56","0.94","0.34","0.41","0.53","0.81",,,,,
"DebreGenetK","0.03","0.12","0.66","0.38","0.19","0.41","0.31","0.25","0.06","0.47","0.53","0.81","0.75","0.72","0.28","0.94","0.91","0.62","0.22","0.09","0.5","0.16","0.44","0.78","1","0.88","0.56","0.97","0.34","0.59","0.69","0.84",,,,,
"DebreGeorgis","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"DebreKidusan","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"Debremawie","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"Debreselam","0.06","0.09","0.62","0.34","0.03","0.41","0.72","0.16","0.19","0.44","0.66","0.78","0.69","0.5","0.31","0.97","0.94","0.38","0.25","0.12","0.59","0.22","0.47","0.88","1","0.84","0.56","0.91","0.28","0.53","0.81","0.75",,,,,
"Debrinetseb","0.03","0.12","0.66","0.38","0.19","0.41","0.31","0.25","0.06","0.47","0.53","0.81","0.75","0.72","0.28","0.94","0.91","0.62","0.22","0.09","0.5","0.16","0.44","0.78","1","0.88","0.56","0.97","0.34","0.59","0.69","0.84",,,,,
"Dekera","0.03","0.44","0.62","0.28","0.09","0.41","0.81","0.16","0.06","0.59","0.53","0.91","0.84","0.75","0.22","0.78","0.97","0.25","0.34","0.12","0.5","0.19","0.72","0.69","1","0.88","0.47","0.94","0.31","0.38","0.66","0.56",,,,,
"DembezaAmbaLay","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"Derit","0.03","0.88","0.84","0.69","0.44","0.56","0.31","0.53","0.06","0.16","0.38","1","0.72","0.47","0.19","0.41","0.34","0.25","0.12","0.09","0.22","0.28","0.91","0.5","0.94","0.97","0.66","0.81","0.78","0.59","0.62","0.75",,,,,
"Derita","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Dinkashena","0.06","0.25","0.59","0.62","0.03","0.16","0.78","0.34","0.38","0.41","0.19","0.81","0.53","0.28","0.22","0.84","0.94","0.47","0.12","0.09","0.44","0.31","0.69","0.88","0.97","0.75","0.5","1","0.72","0.66","0.91","0.56",,,,,
"Ebo","0.12","0.31","0.66","0.56","0.03","0.5","0.59","0.44","0.28","0.34","0.06","0.69","0.84","0.62","0.25","0.91","1","0.22","0.19","0.09","0.47","0.16","0.75","0.81","0.97","0.88","0.53","0.94","0.72","0.41","0.78","0.38",,,,,
"Edagaarbi","0.06","0.12","0.5","0.56","0.03","0.47","0.75","0.09","0.25","0.41","0.69","0.91","0.44","0.62","0.28","1","0.88","0.34","0.19","0.16","0.59","0.22","0.53","0.81","0.97","0.78","0.66","0.94","0.38","0.31","0.72","0.84",,,,,
"EmbaAhfrom","0.12","0.28","0.5","0.62","0.06","0.81","0.94","0.03","0.16","0.47","0.59","0.84","0.38","0.41","0.25","1","0.66","0.31","0.19","0.09","0.69","0.22","0.72","0.88","0.97","0.78","0.53","0.91","0.34","0.44","0.56","0.75",,,,,
"EmbachekoGunaguna","0.03","0.31","0.28","0.69","0.09","0.16","0.84","0.47","0.12","0.5","0.41","0.94","0.75","0.66","0.22","0.81","1","0.38","0.25","0.06","0.59","0.44","0.62","0.88","0.97","0.91","0.56","0.78","0.34","0.53","0.72","0.19",,,,,
"EndaBagerima","0.22","0.03","0.47","0.5","0.06","0.66","0.75","0.12","0.25","0.38","0.59","0.88","0.44","0.62","0.28","0.97","0.69","0.31","0.19","0.09","0.78","0.16","0.91","0.72","1","0.84","0.56","0.94","0.34","0.41","0.53","0.81",,,,,
"Endabano","0.09","0.03","0.97","0.41","0.06","0.59","0.47","0.25","0.28","0.31","0.5","0.75","0.72","0.81","0.19","0.88","0.84","0.38","0.22","0.12","0.62","0.16","0.66","0.69","1","0.91","0.53","0.94","0.34","0.44","0.56","0.78",,,,,
"Endachiwa","0.12","0.28","0.5","0.62","0.06","0.81","0.94","0.03","0.16","0.47","0.59","0.84","0.38","0.41","0.25","1","0.66","0.31","0.19","0.09","0.69","0.22","0.72","0.88","0.97","0.78","0.53","0.91","0.34","0.44","0.56","0.75",,,,,
"EndaFelasi","0.09","0.03","0.97","0.41","0.06","0.59","0.47","0.25","0.28","0.31","0.5","0.75","0.72","0.81","0.19","0.88","0.84","0.38","0.22","0.12","0.62","0.16","0.66","0.69","1","0.91","0.53","0.94","0.34","0.44","0.56","0.78",,,,,
"Endagahamus","0.12","0.28","0.5","0.62","0.06","0.81","0.94","0.03","0.16","0.47","0.59","0.84","0.38","0.41","0.25","1","0.66","0.31","0.19","0.09","0.69","0.22","0.72","0.88","0.97","0.78","0.53","0.91","0.34","0.44","0.56","0.75",,,,,
"Endamariam","0.31","0.09","0.47","0.53","0.06","0.41","0.62","0.03","0.12","0.34","0.91","0.78","0.59","0.72","0.44","0.97","0.84","0.28","0.22","0.16","0.5","0.19","0.66","0.81","1","0.94","0.56","0.88","0.25","0.38","0.75","0.69",,,,,
"Erba","0.03","0.59","0.47","0.38","0.12","0.41","0.5","0.34","0.25","0.31","0.09","0.94","0.62","0.44","0.19","1","0.97","0.28","0.16","0.06","0.75","0.22","0.84","0.88","0.78","0.81","0.53","0.91","0.66","0.56","0.72","0.69",,,,,
"Esiret","0.06","0.16","0.62","0.41","0.12","0.31","0.69","0.19","0.03","0.38","0.5","0.91","0.84","0.78","0.56","0.75","0.94","0.28","0.34","0.09","0.25","0.22","0.72","0.81","1","0.88","0.59","0.97","0.53","0.47","0.66","0.44",,,,,
"Estifanos","0.03","0.19","0.44","0.72","0.25","0.41","0.59","0.06","0.16","0.5","0.75","0.94","0.81","0.56","0.38","0.84","1","0.28","0.22","0.09","0.47","0.12","0.34","0.91","0.97","0.91","0.31","0.78","0.69","0.53","0.66","0.62",,,,,
"Fala","0.16","0.44","0.47","0.41","0.06","0.53","0.25","0.56","0.31","0.38","0.19","0.97","0.72","0.28","0.03","1","0.69","0.34","0.12","0.09","0.66","0.22","0.88","0.78","0.91","0.84","0.5","0.94","0.75","0.59","0.81","0.62",,,,,
"Felegehiwot","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"FelegeWayane","0.03","0.09","0.56","0.38","0.06","0.5","0.66","0.22","0.16","0.53","0.75","0.88","1","0.34","0.28","0.78","0.84","0.19","0.47","0.12","0.59","0.25","0.62","0.81","0.97","0.94","0.41","0.91","0.44","0.31","0.72","0.69",,,,,
"FikreAlem","0.06","0.56","0.41","0.25","0.03","0.44","0.72","0.31","0.19","0.22","0.47","0.88","0.75","0.69","0.09","0.84","1","0.34","0.28","0.16","0.38","0.12","0.78","0.81","0.94","0.91","0.5","0.97","0.62","0.53","0.66","0.59",,,,,
"Filatako","0.03","0.88","0.84","0.69","0.44","0.56","0.31","0.53","0.06","0.16","0.38","1","0.72","0.47","0.19","0.41","0.34","0.25","0.12","0.09","0.22","0.28","0.91","0.5","0.94","0.97","0.66","0.81","0.78","0.59","0.62","0.75",,,,,
"Gebsit","0.03","0.97","0.66","0.53","0.41","0.84","0.69","0.81","0.25","0.16","0.38","1","0.34","0.94","0.12","0.19","0.28","0.31","0.09","0.06","0.44","0.22","0.78","0.88","0.91","0.56","0.5","0.72","0.75","0.47","0.62","0.59",,,,,
