"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"Lul","0.89","0.68","0.7","0.86","0.89","0.46",,"0.16"
"LusinaAbegeldi","0.86","0.43","0.73","0.81","0.86","0.95",,"0.03"
"Maekelawi","0.14","0.43","0.08","0.05","0.14","0.32",,"0.06"
"MaekelSegli","0.08","0.35","0.03","0.03","0.08","0.11",,"0.03"
"MahbereWeyni","0.57","0.62","0.03","0.08","0.57","0.27",,"0.06"
"MariamShewito","0.76","0.41","0.16","0.43","0.76","0.16",,"0.03"
"Martadios","0.68","1","0.57","1","0.68","0.81",,"0.06"
"MayChekemte","0.32","0.65","0.16","0.59","0.32","0.05",,"0.06"
"MayNebri","0.3","0.76","0.14","0.59","0.3","0.49",,"0.31"
"Maysuru","0.46","0.73","0.19","0.65","0.46","0.54",,"0.03"
"MayTeklia","0.24","0.27","0.46","0.7","0.24","0.08",,"0.06"
"Mearey","0.38","0.22","0.16","0.22","0.38","0.16",,"0.19"
"Mechare","0.59","0.81","0.19","0.62","0.59","0.92",,"0.5"
"Mechena","0.68","0.41","0.38","0.68","0.68","0.95",,"0.03"
"MehalGoncha","1","0.46","0.78","0.97","1","0.84",,"0.16"
"Mekan ","0.54","0.84","0.24","0.54","0.54","0.92",,"0.31"
"MekaneGenet","1","0.68","0.73","1","1","0.89",,"0.03"
"Melabesh","0.89","0.68","0.65","0.81","0.89","0.43",,"0.09"
"MendereMariam","1","1","0.46","1","1","0.41",,"0.06"
"Menegobena","0.89","0.68","0.46","0.62","0.89","0.78",,"0.12"
"Menji","0.05","0.35","0.03","0.03","0.05","0.49",,"0.06"
"Mergech","0.78","0.68","0.54","0.54","0.78","0.89",,"0.12"
"Mesanu","0.54","0.78","0.03","0.11","0.54","0.51",,"0.06"
"Mesehle","0.03","0.11","0.03","0.05","0.03","0.11",,"0.03"
"Meswaeti ","0.54","0.89","0.3","0.38","0.54","0.97",,"0.31"
"Metkel","0.41","0.3","0.16","0.27","0.41","0.27",,"0.03"
"MetkelLemat","0.51","0.32","0.38","0.65","0.51","0.41",,"0.03"
"Mezbr","0.81","0.57","0.22","0.68","0.81","0.24",,"0.03"
"MichelDebre","1","1","0.46","1","1","0.22",,"0.06"
"Miraf","1","0.68","0.57","0.65","1","0.76",,"0.12"
"Misema","0.05","0.05","0.05","0.3","0.05","0.32",,"0.03"
"Mitad","1","1","1","1","1","0.46",,"0.03"
"MitinaYimach","1","0.68","0.76","1","1","0.86",,"0.03"
"Mozen","0.89","0.68","0.51","0.68","0.89","0.78",,"0.12"
"Mozutey","0.62","0.89","0.19","0.76","0.62","0.92",,"0.31"
"Mtsaiwerki","0.27","0.24","0.03","0.11","0.27","0.19",,"0.06"
"Nagash","0.57","0.68","0.16","0.57","0.57","0.84",,"0.03"
"Nebarhadinet","0.38","0.16","0.24","0.41","0.38","0.35",,"0.03"
"Nefasit","0.05","0.11","0.03","0.03","0.05","0.14",,"0.03"
"Negedebrhan","0.19","0.46","0.05","0.24","0.19","0.19",,"0.09"
"Niquara","0.84","0.68","0.73","0.81","0.84","0.92",,"0.03"
"Qoraro","0.54","0.54","0.05","0.11","0.54","0.19",,"0.09"
"RubaFelege","0.57","0.97","0.19","0.54","0.57","0.81",,"0.03"
"Santa gelebeda","0.24","0.51","0.05","0.03","0.24","0.51",,"0.06"
"SaratYerawoch","0.97","0.68","0.84","0.92","0.97","0.84",,"0.03"
"Sefo","0.43","0.7","0.19","0.65","0.43","0.54",,"0.06"
"Segena","0.97","0.65","0.81","0.97","0.97","0.84",,"0.03"
"Seka","0.03","0.27","0.03","0.16","0.03","0.03",,"0.03"
"Selamaya","0.92","0.35","0.59","0.76","0.92","0.81",,"0.03"
"SelamBekalsi","0.51","0.86","0.35","0.57","0.51","0.86",,"0.16"
"Selamber","1","0.68","0.67","0.81","1","0.41",,"0.09"
"SelamgieAmbarie","1","0.46","0.78","0.95","1","0.78",,"0.16"
"SelamH","0.3","0.78","0.14","0.46","0.3","0.89",,"0.09"
"SelamW","0.16","0.38","0.05","0.38","0.16","0.11",,"0.03"
"Selelkula","1","0.68","0.54","0.51","1","0.7",,"0.12"
"SelenWuha","0.51","0.86","0.3","0.49","0.51","0.84",,"0.16"
"Seloda","0.68","0.27","0.16","0.43","0.68","0.24",,"0.03"
"Sendada","0.35","0.81","0.14","0.57","0.35","0.84",,"0.03"
"Serawudi","0.68","0.41","0.51","1","0.68","0.86",,"0.06"
"Seret","0.38","0.38","0.22","0.51","0.38","0.78",,"0.12"
"Sero","0.46","0.81","0.16","0.68","0.46","0.32",,"0.03"
"Shamo","0.57","0.41","0.57","1","0.57","0.57",,"0.06"
"ShehochTehara","0.51","0.41","0.57","1","0.51","0.65",,"0.06"
"Shekatekli","0.08","0.46","0.03","0.03","0.08","0.14",,"0.19"
"Shunge","0.92","0.3","0.59","0.73","0.92","0.73",,"0.03"
"Simret","0.3","0.78","0.19","0.78","0.3","0.24",,"0.12"
"SimretS","0.54","0.84","0.3","0.46","0.54","0.95",,"0.31"
"SimretT","0.03","0.35","0.05","0.19","0.03","0.14",,"0.09"
"Sinkata","0.35","0.95","0.24","0.7","0.35","0.86",,"0.12"
"Siye","0.03","0.38","0.08","0.14","0.03","0.16",,"0.09"
"Smret","0.05","0.35","0.03","0.14","0.05","0.14",,"0.06"
"Sorya","0.54","0.7","0.19","0.35","0.54","0.76",,"0.22"
"Suha","0.78","0.65","0.43","0.54","0.78","0.73",,"0.12"
