"","Name","Region","Timing","Trig","Exit","First","Last"
"69","Ansheb","Shebel Berenta","Early","21","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"70","Ansheb","Shebel Berenta","Late","65","22","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"71","AquaShumoch","Ibinat","Early","26","10","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"72","AquaShumoch","Ibinat","Late","64","36","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"73","Aquha","Ibinat","Early","6","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"74","Aquha","Ibinat","Late","59","32","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"75","Arena","Werieleke","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"76","Arena","Werieleke","Late","56","31","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"77","Asmena","SaesiTsaedaemba","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"78","Asmena","SaesiTsaedaemba","Late","28","6","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"79","Asta","Libo Kemkem","Early","35","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"80","Asta","Libo Kemkem","Late","75","47","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"81","Atakilti","KolaTembien","Early","24","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"82","Atakilti","KolaTembien","Late","73","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"83","AwetBikalsi","KolaTembien","Early","9","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"84","AwetBikalsi","KolaTembien","Late","59","36","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"85","AwusaMeda","Enesie Sar Midir","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"86","AwusaMeda","Enesie Sar Midir","Late","68","22","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"87","Ayba","Emba-Alaje","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"88","Ayba","Emba-Alaje","Late","34","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"89","Aynalem","KinteAwelo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"90","Aynalem","KinteAwelo","Late","48","10","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"91","Bala","RayaAzebo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"92","Bala","RayaAzebo","Late","41","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"93","Balarab","Ibinat","Early","6","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"94","Balarab","Ibinat","Late","59","25","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"95","Bamba","Samre","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"96","Bamba","Samre","Late","65","38","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"97","BarkaAdiswha","Atsbi","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"98","BarkaAdiswha","Atsbi","Late","39","9","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"99","Begasheka","KolaTembien","Early","25","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"100","Begasheka","KolaTembien","Late","69","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"101","Berlay","Enesie Sar Midir","Early","13","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"102","Berlay","Enesie Sar Midir","Late","61","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"103","Betgebez","Ahferom","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"104","Betgebez","Ahferom","Late","51","14","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"105","Bethans","Adwa","Early","16","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"106","Bethans","Adwa","Late","68","41","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"107","BilbWuha","Libo Kemkem","Early","34","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"108","BilbWuha","Libo Kemkem","Late","75","43","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"109","Birkutea","Libo Kemkem","Early","35","14","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"110","Birkutea","Libo Kemkem","Late","75","44","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"111","Boneya","Shebel Berenta","Early","19","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"112","Boneya","Shebel Berenta","Late","73","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"113","Burkoche","Ibinat","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"114","Burkoche","Ibinat","Late","62","25","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"115","Cheli","Samre","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"116","Cheli","Samre","Late","63","33","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"117","Darubekeda","Ofla","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"118","Darubekeda","Ofla","Late","44","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"119","Deberkerbye","Medebay-Zana","Early","33","16","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"120","Deberkerbye","Medebay-Zana","Late","75","55","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"121","DeberAbaJale","Ibinat","Early","31","12","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"122","DeberAbaJale","Ibinat","Late","75","41","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"123","DebrAbay","Enesie Sar Midir","Early","9","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"124","DebrAbay","Enesie Sar Midir","Late","57","28","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"125","DebreAliays","Enesie Sar Midir","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"126","DebreAliays","Enesie Sar Midir","Late","60","24","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"127","Debrebirhan","Hawzien","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"128","Debrebirhan","Hawzien","Late","45","11","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"129","Debrebrhan","KinteAwelo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"130","Debrebrhan","KinteAwelo","Late","46","14","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"131","DebreGenet","Enesie Sar Midir","Early","13","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"132","DebreGenet","Enesie Sar Midir","Late","66","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"133","DebreGenetA","Adwa","Early","8","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"134","DebreGenetA","Adwa","Late","70","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"135","DebreGenetK","KolaTembien","Early","17","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"136","DebreGenetK","KolaTembien","Late","66","38","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"137","DebreGeorgis","Enesie Sar Midir","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"138","DebreGeorgis","Enesie Sar Midir","Late","68","22","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"139","DebreKidusan","Enesie Sar Midir","Early","15","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"140","DebreKidusan","Enesie Sar Midir","Late","60","26","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"141","Debremawie","Enesie Sar Midir","Early","13","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"142","Debremawie","Enesie Sar Midir","Late","61","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"143","Debreselam","Hawzien","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"144","Debreselam","Hawzien","Late","51","20","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"145","Debrinetseb","KolaTembien","Early","25","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"146","Debrinetseb","KolaTembien","Late","75","44","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"147","Dekera","Samre","Early","9","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"148","Dekera","Samre","Late","60","32","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"149","DembezaAmbaLay","Enesie Sar Midir","Early","13","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"150","DembezaAmbaLay","Enesie Sar Midir","Late","61","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"151","Derit","Goncha Siso Enesie","Early","23","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"152","Derit","Goncha Siso Enesie","Late","73","29","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"153","Derita","Libo Kemkem","Early","35","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"154","Derita","Libo Kemkem","Late","75","47","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"155","Dinkashena","Ofla","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"156","Dinkashena","Ofla","Late","50","8","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"157","Ebo","RayaAzebo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"158","Ebo","RayaAzebo","Late","26","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"159","Edagaarbi","Ahferom","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"160","Edagaarbi","Ahferom","Late","39","18","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"161","EmbaAhfrom","Ahferom","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"162","EmbaAhfrom","Ahferom","Late","50","28","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"163","EmbachekoGunaguna","Ibinat","Early","26","10","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"164","EmbachekoGunaguna","Ibinat","Late","64","36","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"165","EndaBagerima","Adwa","Early","8","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"166","EndaBagerima","Adwa","Late","60","39","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"167","Endabano","KolaTembien","Early","16","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"168","Endabano","KolaTembien","Late","62","37","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"169","Endachiwa","WiereLahe","Early","8","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"170","Endachiwa","WiereLahe","Late","70","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"171","EndaFelasi","Werieleke","Early","18","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"172","EndaFelasi","Werieleke","Late","67","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"173","Endagahamus","WiereLahe","Early","8","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"174","Endagahamus","WiereLahe","Late","64","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"175","Endamariam","Ahferom","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"176","Endamariam","Ahferom","Late","43","25","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"177","Erba","Raya Azebo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"178","Erba","Raya Azebo","Late","39","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"179","Esiret","Samre","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"180","Esiret","Samre","Late","63","33","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"181","Estifanos","Libo Kemkem","Early","35","14","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"182","Estifanos","Libo Kemkem","Late","75","44","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"183","Fala","Ofla","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"184","Fala","Ofla","Late","47","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"185","Felegehiwot","Enesie Sar Midir","Early","13","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"186","Felegehiwot","Enesie Sar Midir","Late","66","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"187","FelegeWayane","Atsbi","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"188","FelegeWayane","Atsbi","Late","32","9","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"189","FikreAlem","Hintalo Wajerat","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"190","FikreAlem","Hintalo Wajerat","Late","36","11","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"191","Filatako","Goncha Siso Enesie","Early","23","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"192","Filatako","Goncha Siso Enesie","Late","73","29","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"193","Gebsit","Shebel Berenta","Early","21","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"194","Gebsit","Shebel Berenta","Late","65","22","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"195","Gedayasu","Shebel Berenta","Early","21","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"196","Gedayasu","Shebel Berenta","Late","65","22","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"197","GelaMatebiya","Ibinat","Early","17","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"198","GelaMatebiya","Ibinat","Late","61","24","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"199","Gendebta","Adwa","Early","8","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"200","Gendebta","Adwa","Late","60","39","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"201","Geneti","RayaAzebo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"202","Geneti","RayaAzebo","Late","33","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"203","Genfel","KinteAwelo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"204","Genfel","KinteAwelo","Late","40","9","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"205","Gera","TanquaAbergele","Early","16","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"206","Gera","TanquaAbergele","Late","67","35","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"207","Gerjale","Alamata","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"208","Gerjale","Alamata","Late","39","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"209","GetskiMilesiley","KolaTembien","Early","14","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"210","GetskiMilesiley","KolaTembien","Late","61","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"211","Gijet","Samre","Early","11","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"212","Gijet","Samre","Late","52","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"213","Ginaza","Libo Kemkem","Early","41","17","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"214","Ginaza","Libo Kemkem","Late","75","48","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"215","Golgolemalee","Atsbi","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"216","Golgolemalee","Atsbi","Late","32","9","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"217","Goshedur","Enesie Sar Midir","Early","13","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"218","Goshedur","Enesie Sar Midir","Late","66","23","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"219","Goza","Libo Kemkem","Early","34","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"220","Goza","Libo Kemkem","Late","75","43","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"221","Grwre","Tanqua-Abergele","Early","18","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"222","Grwre","Tanqua-Abergele","Late","67","40","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"223","GuemseAgamet","SaesiTsaedaemba","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"224","GuemseAgamet","SaesiTsaedaemba","Late","36","12","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"225","Guroro","KolaTembien","Early","25","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"226","Guroro","KolaTembien","Late","75","44","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"227","Guya","KolaTembien","Early","28","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"228","Guya","KolaTembien","Late","75","42","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"229","Habees","Atsbi","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"230","Habees","Atsbi","Late","39","9","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"231","Hadashtekli","Tanqua-Abergele","Early","20","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"232","Hadashtekli","Tanqua-Abergele","Late","67","35","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"233","HadeAlga","RayaAzebo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"234","HadeAlga","RayaAzebo","Late","29","6","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"235","HadnetK","KinteAwelo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"236","HadnetK","KinteAwelo","Late","38","13","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"237","HadnetS","SaesiTsaedaemba","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"238","HadnetS","SaesiTsaedaemba","Late","37","18","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"239","HadushAdi","SaesiTsaedaemba","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"240","HadushAdi","SaesiTsaedaemba","Late","30","9","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"241","HadushHiwet","SaesiTsaedaemba","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"242","HadushHiwet","SaesiTsaedaemba","Late","28","6","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"243","HagereGenet","Enesie Sar Midir","Early","15","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"244","HagereGenet","Enesie Sar Midir","Late","60","26","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"245","HagereSelamE","Enesie Sar Midir","Early","9","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"246","HagereSelamE","Enesie Sar Midir","Late","57","28","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"247","HagereSelamW","Hintalo Wajerat","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"248","HagereSelamW","Hintalo Wajerat","Late","40","20","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"249","Hangoda","SaesiTsaedaemba","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"250","Hangoda","SaesiTsaedaemba","Late","37","18","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"251","Hareko","Hintalo Wajerat","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"252","Hareko","Hintalo Wajerat","Late","44","14","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"253","Hawelti","RayaAzebo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
"254","Hawelti","RayaAzebo","Late","33","5","1-Jul/24-Jun (19)","31-Jul/24-Jul (21)"
"255","Hayelom","KinteAwelo","Early","5","5","1-Jun/24-May (16)","30-Jun/23-Jun (18)"
