"","Name","Lon","Lat"
"153","Libo ","37.88088","12.18526"
"154","Limaat","39.657985","12.398839"
"155","Limat","38.969821","13.573974"
"156","Lul","38.40667","10.70791"
"157","LusinaAbegeldi","38.17096","12.18188"
"158","Maekelawi","39.1","14"
"159","MaekelSegli","38.9","13.9"
"160","MahbereWeyni","39.55716667","13.69048333"
"161","MariamShewito","38.95662","14.21718"
"162","Martadios","37.87177","12.24637"
"163","MayChekemte","39.11258","14.079"
"164","MayNebri","39.27922","14.08517"
"165","Maysuru","39.17853333","14.2793"
"166","MayTeklia","39.242201","13.254226"
"167","Mearey","38.99416667","13.19138333"
"168","Mechare","39.811","12.76645"
"169","Mechena","38.04879","12.06952"
"170","MehalGoncha","38.20915","11.05474"
"171","Mekan ","39.52550166","12.74920333"
"172","MekaneGenet","38.33391","11.00523"
"173","Melabesh","38.4583","10.83523"
"174","MendereMariam","37.68869","12.30258"
"175","Menegobena","38.30311","10.38347"
"176","Menji","38.89091667","13.69308333"
"177","Mergech","38.31965","10.33402"
"178","Mesanu","39.66021667","13.7033"
"179","Mesehle","38.42014","14.12451"
"180","Meswaeti ","39.54465833","12.69882"
"181","Metkel","39.33889","13.36833"
"182","MetkelLemat","39.187599","13.237814"
"183","Mezbr","39.03853","14.34498"
"184","MichelDebre","37.71948","12.27402"
"185","Miraf","38.35145","10.3807"
"186","Misema","37.27195","14.1325"
"187","Mitad","37.73617","12.24157"
"188","MitinaYimach","38.3508","11.03647"
"189","Mozen","38.30749","10.37133"
"190","Mozutey","39.46714","14.04165"
"191","Mtsaiwerki","38.78111","13.62158"
"192","Nagash","39.59755","13.87613333"
"193","Nebarhadinet","39.0417","13.1668"
"194","Nefasit","38.38987","14.24565"
"195","Negedebrhan","38.93058","13.3322"
"196","Niquara","38.2555","12.2137"
"197","Qoraro","39.25988","13.86542"
"198","RubaFelege","39.72898","13.94422"
"199","Santa gelebeda","39.1722","13.82936"
"200","SaratYerawoch","38.34412","11.06702"
"201","Sefo","39.19678","14.21603"
"202","Segena","38.29259","11.10519"
"203","Seka","38.677553","13.901873"
"204","Selamaya","38.17502","12.12543"
"205","SelamBekalsi","39.659153","12.414739"
"206","Selamber","38.48934","10.881"
"207","SelamgieAmbarie","38.24068","11.10148"
"208","SelamH","39.44903","13.9531"
"209","SelamW","39","14"
"210","Selelkula","38.35776","10.36856"
"211","SelenWuha","39.657374","12.358934"
"212","Seloda","38.8843","14.204"
"213","Sendada","39.59608333","13.96051667"
"214","Serawudi","37.97077","12.13049"
"215","Seret","39.3872","13.04526"
"216","Sero","39.22411667","14.32078333"
"217","Shamo","37.90094","12.08534"
