"","Lat","Lon","Region","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Derita","12.19167","37.81345","Libo Kemkem","66","75","0.81","1","0","0","0"
"Dinkashena","12.640235","39.221175","Ofla","3","62","0.54","0.68","100","0","100"
"Ebo","12.86883333","39.67121667","RayaAzebo","4","33","0.68","0.38","100","0","100"
"Edagaarbi","14.20521","39.25228","Ahferom","32","37","0.92","0.22","0","8","8"
"EmbaAhfrom","14.24734","39.21587","Ahferom","47","44","1","0.14","0","28","28"
"EmbachekoGunaguna","12.04585","38.12471","Ibinat","74","70","1","0.3","0","0","0"
"EndaBagerima","14.158","38.961","Adwa","53","50","0.95","0.08","0","48","48"
"Endabano","13.7764","38.98961667","KolaTembien","73","75","1","1","0","0","0"
"Endachiwa","14.06666667","39.02396667","WiereLahe","60","58","0.97","0.14","0","42","42"
"EndaFelasi","13.91042","38.985","Werieleke","64","75","1","1","0","0","0"
"Endagahamus","14","39.1","WiereLahe","49","62","0.95","0.22","0","9","9"
"Endamariam","14.26368","39.16273","Ahferom","12","31","0.59","0.03","0","66","66"
"Erba","12.54425167","39.76887167","Raya Azebo","10","47","0.78","0.38","0","0","0"
"Esiret","13.34305","39.0774667","Samre","55","75","0.95","1","0","0","0"
"Estifanos","12.07803","37.8684","Libo Kemkem","75","75","1","1","0","0","0"
"Fala","12.49288167","39.39463833","Ofla","4","59","0.7","0.65","100","0","100"
"Felegehiwot","10.92708","38.28638","Enesie Sar Midir","60","75","0.92","1","0","0","0"
"FelegeWayane","13.9071","39.7409","Atsbi","0","25","0.19","0.11","100","29","129"
"FikreAlem","13.20583","39.50667","Hintalo Wajerat","30","37","0.95","0.27","0","0","0"
"Filatako","11.08554","38.10078","Goncha Siso Enesie","75","75","1","1","0","0","0"
"Gebsit","10.4903","38.35219","Shebel Berenta","45","75","0.68","1","0","0","0"
"Gedayasu","10.50118","38.38796","Shebel Berenta","45","75","0.68","1","0","0","0"
"GelaMatebiya","12.20091","38.1349","Ibinat","75","57","1","0.16","0","11","11"
"Gendebta","14.23","39.015","Adwa","53","50","0.95","0.08","0","48","48"
"Geneti","12.79798333","39.65126667","RayaAzebo","4","39","0.73","0.41","100","0","100"
"Genfel","13.78058333","39.58768333","KinteAwelo","0","20","0.19","0.05","100","64","164"
"Gera","13.43246667","38.96085","TanquaAbergele","55","75","0.95","1","0","0","0"
"Gerjale","12.527198","39.651575","Alamata","8","43","0.81","0.3","0","0","0"
"GetskiMilesiley","13.69018333","39.0193","KolaTembien","75","75","1","1","0","0","0"
"Gijet","13.677862","39.1736503","Samre","25","66","0.65","0.49","0","0","0"
"Ginaza","12.10899","37.73503","Libo Kemkem","75","75","1","1","0","0","0"
