"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"41","Atakilti","KolaTembien","Early","32","3","16","33","74","42","60","11","51","0","58","45","25","75","54","50","29","27","16","36","38","24","25","31","13","32","59","62","50","25","7","11","25","43","38","51","75"
"42","AwetBikalsi","KolaTembien","Early","30","7","19","34","61","37","24","18","26","0","35","54","0","68","28","32","26","26","5","2","10","21","25","23","4","2","9","56","34","25","8","25","10","45","29","35","66"
"43","AwusaMeda","Enesie Sar Midir","Early","8","68","0","50","11","18","2","19","25","12","21","24","31","29","42","50","29","9","19","36","12","11","12","0","17","30","18","35","28","22","3","0","19","56","1","63","51"
"44","Ayba","Emba-Alaje","Early","5","0","0","19","1","0","0","0","15","0","5","0","3","37","20","0","0","0","8","7","9","5","0","0","5","2","0","0","0","5","0","0","0","12","0","21","4"
"45","Aynalem","KinteAwelo","Early","28","11","11","50","57","1","0","0","18","0","29","32","0","27","27","32","1","19","0","4","14","7","0","20","5","4","0","5","32","12","0","7","21","14","0","16","0"
"46","Bala","RayaAzebo","Early","10","0","0","25","2","0","1","0","0","0","0","0","3","18","37","0","2","22","13","8","0","5","0","0","0","6","0","4","19","8","0","0","0","0","5","0","9"
"47","Balarab","Ibinat","Early","37","38","7","25","27","32","18","11","33","0","10","33","6","48","56","0","25","21","23","24","6","18","25","0","25","38","20","4","5","6","13","0","25","19","6","40","35"
"48","Bamba","Samre","Early","30","6","7","42","48","10","38","11","36","8","34","33","25","69","46","30","25","27","18","5","25","11","13","36","12","23","16","55","24","16","3","2","18","47","22","39","55"
"49","BarkaAdiswha","Atsbi","Early","28","11","11","26","34","1","0","0","6","0","24","28","4","27","22","31","2","21","0","4","13","2","0","22","12","4","0","0","26","12","2","8","31","12","9","0","0"
"50","Begasheka","KolaTembien","Early","33","3","15","36","67","43","42","11","58","0","59","50","25","73","65","75","29","27","21","30","40","25","21","31","30","31","58","62","50","25","8","9","25","34","38","51","75"
"51","Berlay","Enesie Sar Midir","Early","8","67","0","30","10","15","2","13","27","16","26","23","29","29","56","46","30","17","29","30","14","19","17","15","17","33","18","25","36","9","3","0","30","51","1","60","57"
"52","Betgebez","Ahferom","Early","27","5","1","25","38","4","1","0","10","19","30","33","7","36","47","21","2","25","9","21","16","10","12","28","6","0","9","0","25","30","25","0","0","14","0","5","21"
