"","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Smret","75","75","1","1","0","0","0"
"Sorya","0","66","0.51","0.68","100","0","100"
"Suha","64","75","0.92","1","0","0","0"
"Tahtayhaya","5","43","0.78","0.3","0","0","0"
"TahtayDaeroka","30","49","0.92","0.05","0","27","27"
"TahtayLegomti","60","58","0.97","0.14","0","42","42"
"TahtayMegariaTsebri","20","32","0.65","0.03","0","77","77"
"Tao","8","50","0.78","0.62","0","0","0"
"TaraGedam","70","75","0.76","1","0","0","0"
"TaraSenba","75","63","1","0.14","0","23","23"
"Tekea","4","27","0.62","0.14","100","24","124"
"Tekleweyni","54","75","0.86","1","0","0","0"
"Tetatiro","64","75","0.84","1","0","0","0"
"Tibaga","75","75","1","1","0","0","0"
"Tigage","40","74","0.95","0.62","0","0","0"
"Tsae","65","61","1","0.22","0","3","3"
"Tsetsera","4","69","0.7","0.86","100","0","100"
"Tseykeme","55","75","0.86","1","0","0","0"
"Tsigea","4","39","0.73","0.41","100","0","100"
"Ulaga","12","61","0.86","0.89","0","0","0"
"Wargba","4","39","0.73","0.41","100","0","100"
"Wariba","74","70","1","0.3","0","0","0"
"Wedikeshi","63","65","0.95","0.19","0","9","9"
"Werabaye","5","43","0.78","0.3","0","0","0"
"Werkamba","73","75","1","1","0","0","0"
"Wobo","64","75","0.84","1","0","0","0"
"Wonberoch","75","63","1","0.14","0","23","23"
"Wondye","44","75","0.81","1","0","0","0"
"Worego","55","75","0.81","1","0","0","0"
"WorgajaWagi","65","72","0.97","0.27","0","0","0"
"WoryaMeskel","45","75","0.89","1","0","0","0"
"Woyenti","53","50","0.95","0.08","0","48","48"
"Woynye","55","75","0.81","1","0","0","0"
"WuhdetG","12","27","0.65","0.05","0","52","52"
"WuhdetK","65","66","1","0.41","0","0","0"
"WushaTires","75","75","1","1","0","0","0"
"Yedwuha","48","75","0.62","1","0","0","0"
"Yeju","66","75","0.86","1","0","0","0"
"Yetefet","47","75","0.81","1","0","0","0"
"YifagAkababi","75","75","1","1","0","0","0"
"Yitihana","61","75","0.84","1","0","0","0"
"Zata","1","64","0.57","0.65","100","0","100"
"Ziha","75","72","1","0.22","0","10","10"
"ZihonHuha","57","75","0.95","1","0","0","0"
"ZobarYikuanda","45","75","0.89","1","0","0","0"
"Zongi","49","70","0.84","0.32","0","0","0"
