"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"Aquha","0.73","0.05","0.08","0.59","0.03","0.7","0.41","0.19","0.32","0.89","0.11","0.97","0.35","0.38","0.22","0.92","0.76","0.51","0.78","0.16","0.84","0.24","0.14","0.46","0.95","0.57","0.49","0.81","0.54","0.27","0.43","1","0.3","0.62","0.65","0.86","0.68"
"Arena","0.49","0.11","0.22","0.57","0.46","0.41","0.27","0.19","0.03","0.08","0.24","1","0.78","0.43","0.14","0.86","0.76","0.73","0.92","0.05","0.7","0.16","0.3","0.54","0.68","0.32","0.59","0.81","0.95","0.84","0.38","0.97","0.35","0.51","0.62","0.89","0.65"
"Asmena","0.11","0.08","0.03","0.32","0.81","0.7","0.43","0.54","0.51","0.46","0.16","0.49","0.65","0.3","0.22","0.68","0.41","0.35","0.76","0.14","0.24","0.19","0.59","0.57","0.62","0.27","0.78","0.86","0.73","0.38","0.05","1","0.89","0.84","0.92","0.95","0.97"
"Asta","0.65","0.59","0.38","0.54","0.08","0.81","0.68","0.97","0.43","0.76","0.78","0.92","0.73","0.14","0.24","0.84","0.89","0.86","0.57","0.62","1","0.46","0.3","0.32","0.22","0.16","0.7","0.03","0.11","0.51","0.41","0.49","0.05","0.19","0.27","0.35","0.95"
"Atakilti","0.68","0.19","0.22","0.86","0.62","0.35","0.16","0.59","0.03","0.08","0.14","0.89","0.57","0.7","0.11","0.84","0.76","0.97","0.73","0.05","0.78","0.38","0.54","0.3","0.24","0.32","0.43","0.65","0.51","0.41","0.81","1","0.27","0.49","0.46","0.92","0.95"
"AwetBikalsi","0.84","0.22","0.24","0.16","0.35","0.95","0.32","0.41","0.03","0.73","0.38","0.97","0.54","0.14","0.08","0.43","0.89","1","0.78","0.11","0.81","0.19","0.46","0.27","0.49","0.62","0.57","0.51","0.59","0.3","0.7","0.86","0.05","0.68","0.65","0.76","0.92"
"AwusaMeda","0.81","0.05","0.57","0.51","0.35","0.41","0.11","0.95","0.3","0.62","0.14","1","0.22","0.46","0.16","0.65","0.76","0.97","0.54","0.08","0.89","0.43","0.32","0.49","0.38","0.59","0.84","0.7","0.78","0.19","0.86","0.92","0.03","0.24","0.68","0.27","0.73"
"Ayba","0.16","0.95","0.59","0.46","0.78","0.92","0.41","0.3","0.51","0.7","0.03","0.81","0.08","0.05","0.19","0.35","0.86","0.97","0.14","0.68","0.24","0.11","0.54","0.49","0.65","0.38","0.76","0.62","0.89","0.22","0.73","1","0.27","0.32","0.57","0.43","0.84"
"Aynalem","0.35","0.05","0.08","0.51","0.65","0.59","0.19","0.03","0.11","0.43","0.27","0.89","0.68","0.57","0.24","0.86","0.76","0.95","0.62","0.16","0.49","0.22","0.3","0.73","0.7","0.41","0.38","0.81","0.97","0.54","0.32","1","0.14","0.78","0.92","0.84","0.46"
"Bala","0.16","0.08","0.46","0.89","0.32","0.76","0.24","0.27","0.38","0.86","0.41","0.65","0.05","0.68","0.22","0.84","0.78","0.92","0.57","0.3","0.43","0.11","0.19","0.35","0.54","0.51","0.03","0.73","0.62","0.59","0.7","1","0.14","0.49","0.81","0.95","0.97"
"Balarab","0.68","0.16","0.14","0.78","0.03","0.73","0.59","0.19","0.38","0.97","0.24","1","0.32","0.43","0.11","0.95","0.7","0.84","0.76","0.08","0.86","0.22","0.05","0.49","0.81","0.41","0.46","0.54","0.35","0.27","0.51","0.92","0.3","0.57","0.62","0.65","0.89"
"Bamba","0.59","0.03","0.38","0.76","0.22","0.43","0.05","0.24","0.14","0.86","0.16","0.89","0.81","0.73","0.19","0.97","0.84","1","0.92","0.08","0.57","0.32","0.3","0.68","0.49","0.27","0.51","0.35","0.7","0.62","0.46","0.95","0.11","0.54","0.41","0.65","0.78"
"BarkaAdiswha","0.78","0.16","0.08","0.32","0.41","0.86","0.38","0.3","0.57","0.84","0.22","0.76","0.35","0.19","0.24","0.73","0.59","0.97","0.81","0.43","0.51","0.11","0.49","0.54","0.46","0.65","0.05","0.68","0.89","0.62","0.27","1","0.03","0.14","0.7","0.92","0.95"
"Begasheka","0.35","0.14","0.43","0.92","0.27","0.54","0.16","0.73","0.11","0.51","0.05","0.81","0.89","0.65","0.22","1","0.19","0.86","0.57","0.03","0.84","0.3","0.49","0.59","0.62","0.41","0.76","0.32","0.68","0.46","0.7","0.97","0.08","0.24","0.38","0.95","0.78"
"Berlay","0.84","0.08","0.78","0.62","0.03","0.16","0.65","0.97","0.57","0.81","0.89","1","0.43","0.14","0.11","0.41","0.35","0.95","0.22","0.05","0.92","0.59","0.7","0.49","0.38","0.24","0.76","0.46","0.54","0.27","0.73","0.86","0.19","0.3","0.51","0.32","0.68"
"Betgebez","0.62","0.11","0.14","0.22","0.32","0.24","0.65","0.43","0.08","0.78","0.49","0.97","0.38","0.27","0.3","0.59","0.57","0.86","0.46","0.19","0.54","0.16","0.35","0.76","0.84","0.51","0.41","0.95","0.73","0.81","0.03","1","0.05","0.68","0.7","0.92","0.89"
"Bethans","0.27","0.03","0.24","0.57","0.54","0.78","0.59","0.19","0.05","0.32","0.35","0.97","0.65","0.08","0.14","0.81","0.49","0.76","0.68","0.11","0.89","0.3","0.16","0.51","0.38","0.46","0.22","0.84","0.43","0.62","0.7","0.95","0.86","0.73","0.41","1","0.92"
"BilbWuha","0.62","0.54","0.41","0.73","0.22","0.76","0.92","1","0.81","0.84","0.65","0.89","0.51","0.14","0.19","0.78","0.86","0.97","0.59","0.49","0.95","0.57","0.46","0.43","0.35","0.3","0.27","0.08","0.05","0.32","0.38","0.68","0.03","0.11","0.16","0.24","0.7"
"Birkutea","0.78","0.35","0.65","0.92","0.27","0.89","0.84","1","0.68","0.54","0.24","0.97","0.51","0.16","0.3","0.38","0.49","0.95","0.59","0.32","0.86","0.7","0.81","0.22","0.19","0.03","0.62","0.57","0.08","0.76","0.43","0.46","0.11","0.05","0.14","0.41","0.73"
"Boneya","0.14","0.03","0.54","0.19","0.24","0.81","0.73","0.86","0.65","0.97","0.49","0.76","0.27","0.16","0.22","0.68","0.57","1","0.32","0.08","0.7","0.59","0.41","0.35","0.43","0.89","0.62","0.84","0.3","0.38","0.51","0.92","0.05","0.11","0.95","0.46","0.78"
"Burkoche","0.73","0.08","0.14","0.46","0.05","0.62","0.35","0.19","0.32","0.86","0.03","0.97","0.38","0.49","0.22","0.95","0.78","0.59","0.84","0.16","0.81","0.27","0.11","0.57","0.92","0.68","0.43","0.76","0.54","0.24","0.41","1","0.3","0.7","0.51","0.89","0.65"
"Cheli","0.43","0.03","0.24","0.86","0.51","1","0.11","0.14","0.19","0.22","0.16","0.68","0.73","0.32","0.35","0.95","0.7","0.97","0.49","0.05","0.65","0.41","0.3","0.76","0.57","0.08","0.59","0.78","0.92","0.54","0.89","0.84","0.27","0.46","0.38","0.62","0.81"
