"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"Adiyikoro","0.16","0.43","1","1","0.03","1","0.22","0.24","0.57","0.32","1","1","1","0.59","0.14","1","1","0.54","0.08","0.3","0.62","0.14","0.35","0.27","1","0.65","1","0.19","0.38","0.46","0.51","1","0.41","1","0.49","1","0.05"
"Adizata","0.16","0.43","1","1","0.03","1","0.22","0.24","0.57","0.32","1","1","1","0.59","0.14","1","1","0.54","0.08","0.3","0.62","0.14","0.35","0.27","1","0.65","1","0.19","0.38","0.46","0.51","1","0.41","1","0.49","1","0.05"
"Adreb","1","1","1","1","1","1","1","0.03","1","0.08","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AgazenMeda","0.14","0.19","1","1","0.11","1","1","1","1","0.03","0.16","0.3","1","1","1","1","1","1","1","1","1","0.08","1","0.08","1","1","1","0.27","0.24","1","1","1","0.22","1","1","1","1"
"Agazi","0.11","0.38","0.68","0.46","0.14","0.78","0.22","0.27","0.19","0.51","0.41","1","0.92","0.16","0.51","0.95","0.89","0.73","0.32","0.05","0.03","0.35","0.7","0.08","1","0.59","0.54","0.57","0.76","0.43","0.86","0.62","0.84","0.65","0.3","0.81","0.24"
"Agbe","0.51","0.03","1","1","0.22","1","0.16","0.05","1","0.11","0.49","1","1","0.41","0.08","1","1","0.35","0.3","0.14","1","0.32","1","0.24","1","1","0.43","0.27","1","1","0.19","0.38","0.46","1","1","1","1"
"Agela","1","1","1","1","0.05","1","1","1","1","1","0.14","1","1","1","0.08","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.11"
"Agid","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AlemeTesfa","0.16","0.19","1","1","0.14","1","1","0.27","1","0.05","0.11","1","0.3","1","1","1","1","1","1","0.38","1","0.22","1","0.08","1","1","1","0.35","0.32","1","1","0.24","0.03","1","1","1","1"
"AmdiWeyane","0.03","0.19","0.3","1","0.24","1","0.05","0.22","1","0.16","1","1","0.38","1","1","1","1","1","0.16","0.08","0.35","0.43","1","1","1","0.54","1","1","0.27","0.57","0.46","0.41","0.11","1","0.32","0.49","0.51"
"Amedwuha","0.08","0.03","0.81","0.14","0.05","0.51","0.54","0.35","0.65","0.51","0.51","0.92","0.59","0.89","1","0.86","0.7","0.84","0.51","0.16","0.3","0.24","0.32","0.51","1","0.57","0.22","0.51","0.76","0.78","0.62","0.19","0.11","1","0.73","0.68","0.27"
"Ameno","0.24","0.19","1","1","0.05","1","1","1","1","0.14","0.27","1","0.08","1","0.11","1","1","1","1","1","1","0.03","1","1","1","1","1","0.16","1","1","1","0.22","1","1","1","1","1"
"Amisetya","0.05","0.22","1","0.27","0.03","1","0.32","0.19","1","0.14","0.11","1","0.24","1","1","1","1","1","1","0.3","1","0.16","1","0.11","1","1","0.43","0.41","1","1","0.49","0.51","0.35","1","1","0.46","0.38"
"Angot","0.14","0.19","0.24","1","0.16","1","1","0.27","1","0.08","0.08","1","1","1","1","1","1","1","1","1","1","0.11","1","0.08","1","1","1","1","0.22","1","1","1","1","1","1","1","1"
"Anigot","1","1","1","1","0.05","1","1","1","1","1","0.14","1","1","1","0.08","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.11"
"Ansheb","0.14","0.11","1","1","0.03","1","1","0.19","0.24","0.05","1","1","0.32","1","1","1","1","1","1","0.3","0.35","0.16","1","0.22","1","1","1","0.27","1","1","1","1","0.08","1","1","1","1"
"AquaShumoch","1","0.16","1","1","0.03","1","1","1","1","0.27","0.08","1","0.14","1","0.19","1","1","1","1","1","1","0.11","1","1","1","1","0.22","0.24","1","1","1","1","1","1","1","0.08","0.3"
"Aquha","0.08","0.3","1","1","0.03","1","0.27","0.19","1","0.16","0.11","1","0.24","1","1","1","1","1","1","0.35","0.43","0.14","1","0.41","1","1","0.32","0.51","1","1","0.46","0.49","0.22","1","1","0.38","0.05"
"Arena","0.08","0.19","1","1","0.03","1","0.41","0.14","1","0.24","1","1","1","0.27","0.14","1","1","0.43","0.3","0.16","0.38","0.22","1","1","1","0.46","1","0.35","0.49","1","0.32","1","0.57","0.54","0.51","1","0.05"
"Asmena","0.16","0.08","0.57","0.43","0.03","0.92","0.05","0.62","0.11","0.7","0.46","0.89","0.84","0.27","0.7","0.97","0.86","0.73","0.3","0.19","0.22","0.24","0.59","0.32","1","0.76","0.35","0.54","0.41","0.49","0.81","0.7","0.14","0.78","0.51","0.95","0.38"
"Asta","1","1","1","0.05","0.08","1","1","1","1","0.14","1","1","1","1","0.11","1","1","1","1","1","1","0.03","1","1","0.19","1","1","0.16","1","1","1","1","1","1","1","1","1"
"Atakilti","1","0.14","1","1","1","1","1","0.03","0.08","0.19","1","1","1","1","1","1","1","0.22","1","0.11","1","0.05","1","1","1","1","1","0.16","1","1","0.24","1","1","1","1","1","1"
"AwetBikalsi","0.51","0.08","1","1","0.03","1","0.41","0.11","0.3","0.16","1","1","1","0.38","1","1","1","0.54","0.49","0.27","0.22","0.14","1","0.05","1","1","0.46","0.24","0.59","1","0.35","0.43","0.57","1","0.19","0.32","1"
"AwusaMeda","0.16","0.19","1","1","0.14","1","1","0.27","1","0.05","0.11","1","0.3","1","1","1","1","1","1","0.38","1","0.22","1","0.08","1","1","1","0.35","0.32","1","1","0.24","0.03","1","1","1","1"
"Ayba","0.32","0.03","0.51","0.84","0.05","0.78","0.3","0.7","0.73","0.65","0.49","0.54","0.16","0.35","1","1","0.76","0.57","0.43","0.22","0.38","0.19","0.46","0.65","1","0.81","0.41","0.65","0.92","0.86","0.68","0.11","0.08","0.89","0.27","0.24","0.14"
"Aynalem","0.16","0.08","0.19","1","0.03","1","0.38","0.38","1","0.38","0.68","1","1","1","0.51","0.73","1","0.54","0.59","0.05","0.11","0.22","0.3","0.14","1","0.27","0.43","1","1","0.46","0.57","0.7","0.62","0.49","0.41","0.65","0.24"
"Bala","0.16","0.05","0.3","0.22","0.08","0.57","0.89","0.19","0.57","0.24","0.57","0.84","0.62","0.78","0.57","1","0.76","0.27","0.32","0.73","0.59","0.11","0.68","1","1","0.81","0.65","0.57","0.57","0.57","0.57","0.14","0.05","0.57","0.7","0.86","0.92"
"Balarab","0.05","0.22","1","0.27","0.03","1","0.32","0.19","1","0.14","0.11","1","0.24","1","1","1","1","1","1","0.3","1","0.16","1","0.11","1","1","0.43","0.41","1","1","0.49","0.51","0.35","1","1","0.46","0.38"
"Bamba","0.08","0.19","1","1","0.22","1","0.16","0.03","1","0.11","1","1","1","0.43","1","1","1","0.38","0.27","0.14","0.41","0.32","1","0.35","1","1","0.3","1","1","1","0.24","1","0.05","1","0.46","0.49","1"
"BarkaAdiswha","0.41","0.22","0.78","1","0.03","0.62","0.14","0.49","0.65","0.43","0.7","1","1","1","1","0.73","1","0.3","0.32","0.05","0.08","0.24","0.54","0.19","1","0.35","0.46","1","0.38","0.59","0.57","0.51","0.27","0.68","0.16","0.76","0.11"
"Begasheka","1","0.08","1","1","1","1","1","0.03","1","0.24","1","1","1","1","1","1","1","0.27","1","0.11","1","0.05","1","1","1","1","1","0.14","1","1","0.19","1","0.16","1","1","0.22","1"
"Berlay","0.19","0.22","1","0.14","0.16","1","1","0.32","0.41","0.03","0.11","1","0.38","1","1","1","1","1","1","0.43","1","0.24","1","0.05","1","1","1","1","0.35","0.3","1","0.27","0.08","1","1","1","1"
"Betgebez","0.32","0.16","1","0.62","0.03","1","0.19","0.68","0.54","0.43","1","1","0.65","0.11","1","1","1","0.35","0.38","0.24","0.51","0.22","0.49","0.08","1","1","0.59","0.46","0.14","0.3","0.57","1","0.27","1","0.41","1","0.05"
"Bethans","0.05","0.38","1","1","1","1","0.16","0.11","1","0.3","1","1","1","1","1","1","1","1","1","0.27","1","0.03","0.35","0.32","1","1","1","0.08","0.22","1","0.24","1","0.14","1","1","1","0.19"
"BilbWuha","1","1","1","1","1","1","0.16","0.11","1","0.05","1","1","1","1","0.08","1","1","1","1","1","1","0.03","1","1","0.14","1","1","1","1","1","1","1","1","1","1","1","1"
"Birkutea","1","1","1","1","0.05","1","1","1","1","0.16","1","1","0.08","1","0.11","1","1","1","1","1","0.14","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Boneya","0.08","0.05","0.19","1","0.16","1","1","1","1","0.03","1","1","0.27","1","1","1","1","1","1","0.24","1","0.14","1","1","1","1","1","0.22","1","1","1","1","0.11","1","1","1","1"
"Burkoche","0.08","0.27","0.51","0.57","0.03","1","0.3","0.43","1","0.16","0.11","1","0.19","1","1","1","1","1","0.22","0.24","0.49","0.05","1","0.62","1","1","0.35","0.41","1","1","0.46","0.59","0.14","0.38","1","0.32","0.54"
"Cheli","0.11","0.08","1","1","0.19","1","0.24","0.16","1","0.14","1","1","0.38","1","1","1","1","1","0.27","0.05","0.3","0.35","1","0.32","1","1","0.22","1","1","1","1","1","0.03","1","1","1","1"
"Darubekeda","0.14","0.03","0.78","0.27","0.08","0.49","0.24","0.49","0.81","0.11","0.3","0.49","0.57","0.68","1","1","1","0.7","0.49","1","0.19","0.16","0.76","1","1","0.51","0.22","0.49","0.62","0.49","0.73","0.54","0.05","0.49","0.84","0.59","0.65"
"Deberkerbye","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"DeberAbaJale","1","0.03","1","1","0.08","1","1","1","1","0.14","1","1","0.11","1","0.16","1","1","1","1","1","0.24","0.05","1","1","1","1","1","0.19","1","1","1","0.27","1","1","1","1","0.22"
"DebrAbay","0.19","0.27","1","0.16","0.14","1","1","0.22","0.41","0.08","0.05","1","0.38","0.51","0.49","1","1","1","0.46","0.43","1","0.24","1","0.03","1","1","1","1","0.32","0.3","1","0.35","0.11","1","1","1","1"
"DebreAliays","0.19","0.22","1","0.16","0.08","1","1","0.38","1","0.03","0.16","1","0.24","1","1","1","1","1","1","1","1","0.27","1","0.16","1","1","0.41","1","0.32","0.3","1","0.35","0.05","1","1","1","1"
"Debrebirhan","0.22","0.16","1","1","0.03","1","0.19","0.3","0.38","0.32","1","1","1","0.59","0.7","1","1","0.54","0.27","0.05","0.14","0.24","0.35","0.08","1","0.49","0.46","1","1","0.57","0.62","0.41","0.65","0.51","0.43","0.68","0.11"
"Debrebrhan","0.16","0.14","0.27","1","0.03","0.49","0.32","0.3","1","0.11","0.73","1","1","1","0.51","0.7","1","0.19","0.65","0.05","0.08","0.24","0.35","0.59","1","1","0.38","1","0.57","1","0.54","0.68","0.62","0.46","0.41","0.43","0.22"
"DebreGenet","0.16","0.19","1","0.35","0.14","1","1","0.3","1","0.05","0.11","1","1","1","1","1","1","1","0.32","1","1","0.22","1","0.03","1","1","1","1","0.27","0.24","1","1","0.08","1","1","1","1"
"DebreGenetA","1","0.08","1","1","0.16","1","1","0.11","1","1","1","1","1","1","1","1","1","0.27","0.03","1","1","0.05","1","0.32","1","1","1","0.19","1","1","0.22","1","0.24","1","0.3","1","0.14"
"DebreGenetK","1","0.05","1","1","1","1","1","0.03","1","0.11","1","1","1","0.08","1","1","1","0.32","0.35","0.14","0.3","0.19","1","1","1","1","1","0.16","1","1","0.22","1","0.27","1","1","0.24","1"
"DebreGeorgis","0.16","0.19","1","1","0.14","1","1","0.27","1","0.05","0.11","1","0.3","1","1","1","1","1","1","0.38","1","0.22","1","0.08","1","1","1","0.35","0.32","1","1","0.24","0.03","1","1","1","1"
"DebreKidusan","0.16","0.22","1","0.3","0.14","1","1","0.19","0.32","0.03","0.11","0.46","0.41","0.49","0.24","1","1","1","0.43","1","1","0.27","1","0.05","0.51","1","1","1","0.38","0.35","1","1","0.08","1","1","1","1"
"Debremawie","0.19","0.22","1","0.14","0.16","1","1","0.32","0.41","0.03","0.11","1","0.38","1","1","1","1","1","1","0.43","1","0.24","1","0.05","1","1","1","1","0.35","0.3","1","0.27","0.08","1","1","1","1"
"Debreselam","0.11","0.65","1","1","0.05","1","0.54","0.24","0.35","0.27","1","1","1","0.08","0.24","1","1","0.57","0.38","0.03","0.16","0.24","0.49","0.14","1","0.46","0.41","0.3","0.51","1","0.68","1","0.59","0.43","0.62","1","0.32"
"Debrinetseb","1","0.19","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","0.14","1","0.08","1","0.03","1","1","1","1","1","0.11","1","1","0.16","1","1","1","1","1","1"
"Dekera","0.14","0.22","1","1","0.16","1","0.3","0.11","1","0.08","1","1","0.24","1","1","1","1","1","0.38","0.05","0.27","0.46","1","1","1","0.41","0.32","1","0.19","0.35","1","1","0.03","0.43","1","1","1"
"DembezaAmbaLay","0.19","0.22","1","0.14","0.16","1","1","0.32","0.41","0.03","0.11","1","0.38","1","1","1","1","1","1","0.43","1","0.24","1","0.05","1","1","1","1","0.35","0.3","1","0.27","0.08","1","1","1","1"
"Derit","0.14","0.16","0.22","1","0.11","1","1","1","1","0.03","0.08","1","1","1","1","1","1","1","1","0.24","1","0.08","1","1","1","1","1","1","0.19","1","1","1","1","1","1","1","1"
"Derita","1","1","1","0.05","0.08","1","1","1","1","0.14","1","1","1","1","0.11","1","1","1","1","1","1","0.03","1","1","0.19","1","1","0.16","1","1","1","1","1","1","1","1","1"
"Dinkashena","0.14","0.11","1","0.19","0.03","1","0.16","0.43","1","0.11","0.43","0.43","0.49","0.65","1","1","1","0.76","0.43","0.73","0.22","0.43","0.7","0.43","1","0.62","0.59","0.43","0.51","0.57","1","0.46","0.05","0.43","1","0.54","0.68"
"Ebo","0.43","0.03","0.59","0.24","0.11","0.86","0.32","0.65","0.84","0.22","0.68","0.35","0.3","0.41","0.84","0.95","0.92","0.27","0.62","0.22","0.49","0.05","0.57","0.84","1","0.54","0.46","0.76","0.73","0.7","0.89","0.22","0.08","0.97","0.51","0.14","0.38"
"Edagaarbi","0.24","0.03","1","0.54","0.11","0.73","0.16","0.32","0.19","0.43","1","1","0.68","0.05","0.43","1","1","0.49","0.35","0.08","0.51","0.38","0.59","0.14","1","0.65","0.27","0.3","0.46","0.57","0.76","1","0.7","0.62","0.78","1","0.22"
"EmbaAhfrom","0.08","0.41","1","0.65","0.05","1","0.54","0.27","0.03","0.38","1","1","0.7","0.11","0.3","1","1","0.35","0.22","0.16","0.46","0.27","0.49","0.43","1","0.68","1","0.32","0.19","0.51","0.57","1","0.62","0.59","0.73","1","0.14"
"EmbachekoGunaguna","1","0.16","1","1","0.03","1","1","1","1","0.27","0.08","1","0.14","1","0.19","1","1","1","1","1","1","0.11","1","1","1","1","0.22","0.24","1","1","1","1","1","1","1","0.08","0.3"
"EndaBagerima","0.11","0.03","1","1","0.35","1","0.14","0.16","1","0.41","1","1","1","1","1","1","1","0.3","0.22","0.38","1","0.08","0.43","0.46","1","1","1","0.19","0.27","0.49","0.32","1","0.24","1","1","1","0.08"
"Endabano","1","0.11","1","1","0.22","1","1","0.08","1","0.16","1","1","1","0.08","1","1","1","0.38","0.35","0.19","0.27","0.03","1","0.14","1","1","0.24","0.49","1","1","0.41","0.3","0.46","1","0.43","0.32","1"
"Endachiwa","1","0.08","1","1","0.16","1","1","0.11","1","1","1","1","1","1","1","1","1","0.27","0.03","1","1","0.05","1","0.32","1","1","1","0.19","1","1","0.22","1","0.24","1","0.3","1","0.14"
"EndaFelasi","0.24","0.08","1","1","0.22","1","1","0.11","1","0.32","1","1","1","1","0.05","1","1","1","0.05","0.19","0.35","0.16","1","0.14","1","1","1","0.27","1","1","0.3","1","1","1","1","1","1"
"Endagahamus","0.43","0.11","1","1","0.19","1","1","0.08","1","0.38","1","1","1","0.3","0.08","1","1","0.46","0.08","0.16","0.35","0.14","1","1","1","1","1","0.32","1","1","0.24","1","0.41","1","0.27","1","0.22"
"Endamariam","0.22","0.38","1","0.59","0.11","1","0.35","0.57","0.19","0.16","1","1","1","0.08","0.54","1","1","0.43","0.27","0.24","0.49","0.32","0.3","0.05","1","0.7","1","0.41","0.14","0.46","0.62","1","0.68","0.65","0.51","1","0.03"
"Erba","0.16","0.05","0.35","0.19","0.08","0.7","0.32","0.24","0.7","0.27","0.3","0.89","0.76","0.73","0.7","1","0.95","0.22","0.46","0.81","0.43","0.11","0.78","0.7","1","0.86","0.41","0.7","0.7","0.7","0.7","0.14","0.03","0.7","0.84","0.92","0.38"
"Esiret","0.11","0.08","1","1","0.19","1","0.24","0.16","1","0.14","1","1","0.38","1","1","1","1","1","0.27","0.05","0.3","0.35","1","0.32","1","1","0.22","1","1","1","1","1","0.03","1","1","1","1"
"Estifanos","1","1","1","1","0.05","1","1","1","1","0.16","1","1","0.08","1","0.11","1","1","1","1","1","0.14","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Fala","0.11","0.05","0.81","0.27","0.08","0.46","0.73","0.46","1","0.24","0.3","1","0.49","0.62","0.78","1","1","0.57","0.46","0.76","0.22","0.14","0.84","1","1","0.59","0.19","0.46","0.51","0.46","0.68","0.16","0.05","0.46","0.54","0.7","0.65"
"Felegehiwot","0.16","0.19","1","0.35","0.14","1","1","0.3","1","0.05","0.11","1","1","1","1","1","1","1","0.32","1","1","0.22","1","0.03","1","1","1","1","0.27","0.24","1","1","0.08","1","1","1","1"
"FelegeWayane","0.43","0.27","0.84","0.65","0.03","0.73","0.16","0.46","0.62","0.51","0.78","1","1","0.68","0.57","0.81","1","0.38","0.41","0.05","0.08","0.19","0.54","0.14","1","0.7","0.32","1","0.35","0.3","0.59","0.51","0.22","0.76","0.24","1","0.11"
"FikreAlem","0.11","0.03","0.57","1","0.19","0.43","0.22","0.35","0.81","0.08","1","0.65","0.59","0.73","0.7","1","1","0.51","0.3","0.14","0.38","0.05","0.62","0.49","1","0.41","0.84","0.54","0.68","1","0.78","0.16","0.24","0.76","0.46","0.32","0.27"
"Filatako","0.14","0.16","0.22","1","0.11","1","1","1","1","0.03","0.08","1","1","1","1","1","1","1","1","0.24","1","0.08","1","1","1","1","1","1","0.19","1","1","1","1","1","1","1","1"
"Gebsit","0.14","0.11","1","1","0.03","1","1","0.19","0.24","0.05","1","1","0.32","1","1","1","1","1","1","0.3","0.35","0.16","1","0.22","1","1","1","0.27","1","1","1","1","0.08","1","1","1","1"
"Gedayasu","0.14","0.11","1","1","0.03","1","1","0.19","0.24","0.05","1","1","0.32","1","1","1","1","1","1","0.3","0.35","0.16","1","0.22","1","1","1","0.27","1","1","1","1","0.08","1","1","1","1"
"GelaMatebiya","0.24","0.05","1","1","0.03","1","1","0.27","1","0.14","0.08","1","0.22","1","1","1","1","1","1","0.32","1","0.11","1","1","1","1","0.38","0.19","1","1","1","0.35","0.3","1","1","1","0.16"
"Gendebta","0.11","0.03","1","1","0.35","1","0.14","0.16","1","0.41","1","1","1","1","1","1","1","0.3","0.22","0.38","1","0.08","0.43","0.46","1","1","1","0.19","0.27","0.49","0.32","1","0.24","1","1","1","0.08"
"Geneti","0.27","0.05","0.46","0.19","0.08","0.89","0.24","0.68","0.86","0.16","0.51","0.3","0.59","0.57","0.86","0.97","0.92","0.62","0.49","0.22","0.35","0.11","0.54","0.86","1","0.73","0.32","0.86","0.65","0.38","0.86","0.16","0.03","0.95","0.43","0.7","0.41"
"Genfel","0.16","0.11","0.35","1","0.03","0.65","0.22","0.54","0.49","0.41","0.73","1","1","1","0.62","0.78","1","0.57","0.3","0.08","0.14","0.24","0.38","0.27","1","0.32","0.43","1","0.7","0.51","0.59","0.46","0.76","0.68","0.19","0.81","0.05"
"Gera","1","0.05","1","1","0.16","1","0.27","0.03","1","0.11","1","1","1","0.38","1","1","1","0.35","0.24","0.19","0.3","0.32","1","0.22","1","1","0.41","1","1","1","0.14","1","0.08","1","1","1","1"
"Gerjale","0.16","0.05","0.32","0.19","0.08","0.62","0.68","0.24","0.62","0.27","0.62","0.86","0.7","0.81","0.62","1","0.78","0.22","0.62","0.73","0.65","0.11","0.89","1","1","0.84","0.35","0.62","0.62","0.62","0.62","0.14","0.03","0.62","0.76","0.92","0.3"
"GetskiMilesiley","0.41","0.22","1","1","0.43","1","1","0.08","0.16","0.11","1","1","1","0.08","1","1","1","0.49","0.27","0.19","0.35","0.14","1","0.08","1","1","1","0.24","1","1","0.32","0.3","0.38","1","0.46","1","1"
"Gijet","0.08","0.14","1","1","0.16","1","0.46","0.11","0.35","0.19","0.62","1","1","0.59","0.24","1","1","0.38","0.57","0.05","0.32","0.22","0.65","0.03","1","1","0.3","0.27","1","1","0.43","0.51","1","0.54","0.68","0.41","0.49"
"Ginaza","1","1","1","1","0.05","1","1","1","1","1","0.08","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Golgolemalee","0.43","0.27","0.84","0.65","0.03","0.73","0.16","0.46","0.62","0.51","0.78","1","1","0.68","0.57","0.81","1","0.38","0.41","0.05","0.08","0.19","0.54","0.14","1","0.7","0.32","1","0.35","0.3","0.59","0.51","0.22","0.76","0.24","1","0.11"
"Goshedur","0.16","0.19","1","0.35","0.14","1","1","0.3","1","0.05","0.11","1","1","1","1","1","1","1","0.32","1","1","0.22","1","0.03","1","1","1","1","0.27","0.24","1","1","0.08","1","1","1","1"
"Goza","1","1","1","1","1","1","0.16","0.11","1","0.05","1","1","1","1","0.08","1","1","1","1","1","1","0.03","1","1","0.14","1","1","1","1","1","1","1","1","1","1","1","1"
"Grwre","1","0.05","1","1","0.08","1","0.27","0.03","1","0.14","0.35","1","1","1","1","1","1","0.32","0.24","0.16","0.22","0.19","1","1","1","1","0.38","1","1","1","0.3","1","0.11","1","1","1","1"
"GuemseAgamet","0.46","0.35","0.81","0.24","0.22","0.76","0.14","0.38","0.14","0.59","0.27","1","1","0.16","0.59","0.84","0.86","0.73","0.51","0.03","0.05","0.3","0.49","0.14","1","0.62","0.43","1","0.54","0.32","0.78","0.41","0.65","0.7","0.68","0.89","0.19"
"Guroro","1","0.19","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","0.14","1","0.08","1","0.03","1","1","1","1","1","0.11","1","1","0.16","1","1","1","1","1","1"
"Guya","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","0.14","1","0.08","1","0.05","1","0.11","1","1","1","1","1","1","1","1","0.19","1","1","0.16","1"
