"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"24","AdiHa","KolaTembien","Late","0","45","0","0","62","0","0","39","0","19","0","0","0","0","0","0","0","0","0","2","7","33","0","60","0","0","0","2","0","0","0","0","0","0","13","0","0"
"25","AdiKisandid","KinteAwelo","Early","0","0","0","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","100","100","0","0","100","100","100","0","0","100","0","0","0","100","0","100"
"26","AdiKisandid","KinteAwelo","Late","14","50","0","0","93","0","11","0","0","0","0","0","0","0","0","0","0","0","0","55","42","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","64"
"27","Adisalem","Enesie Sar Midir","Early","14","0","100","0","100","0","100","0","0","54","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","100","0","0"
"28","Adisalem","Enesie Sar Midir","Late","6","0","0","18","17","0","0","0","0","83","21","0","0","0","0","0","0","0","0","0","0","2","0","18","0","0","0","0","7","0","0","0","45","0","0","0","0"
"29","AdisAlemS","Samre","Early","0","11","89","0","0","100","0","83","0","31","0","0","0","0","0","0","0","0","0","99","0","0","0","0","0","0","0","0","0","22","0","75","55","0","0","0","0"
"30","AdisAlemS","Samre","Late","70","11","0","0","8","0","39","10","0","16","0","0","0","0","0","0","0","0","16","35","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0"
"31","AdisAlemW","WiereLahe","Early","0","0","100","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0"
"32","AdisAlemW","WiereLahe","Late","79","0","0","0","57","0","0","23","0","0","0","0","0","62","23","0","0","0","0","0","0","23","0","0","0","0","38","4","0","0","0","0","0","0","0","0","48"
"33","Adiselam","Naeder-Adet","Early","0","93","0","0","0","0","0","68","38","1","0","0","0","0","0","0","3","23","0","71","0","40","0","23","0","0","0","0","0","0","0","0","23","0","0","0","0"
"34","Adiselam","Naeder-Adet","Late","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Adishimbirkti","Ofla","Early","0","100","100","0","100","100","100","100","0","100","100","100","100","0","0","100","100","100","0","100","0","0","0","100","0","100","100","100","100","100","100","100","100","0","100","0","100"
"36","Adishimbirkti","Ofla","Late","26","100","0","0","81","0","0","2","0","37","0","0","0","0","0","0","0","0","0","0","9","25","0","0","0","0","11","0","0","0","0","0","94","0","0","0","0"
"37","AdisKigni","RayaAzebo","Early","0","100","100","0","100","100","100","100","100","100","100","100","100","0","0","100","100","0","0","0","100","100","100","100","100","0","100","100","0","0","100","100","100","100","0","100","0"
"38","AdisKigni","RayaAzebo","Late","40","100","0","17","68","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","0","44","100","0","0","0","0"
"39","Adiyikoro","Ahferom","Early","0","0","100","0","0","100","100","100","100","100","0","0","0","0","0","0","100","0","100","100","0","0","0","0","0","100","0","0","0","0","100","100","100","0","100","100","0"
"40","Adiyikoro","Ahferom","Late","11","0","0","0","65","0","6","3","0","0","0","0","0","0","22","0","0","0","24","0","0","22","0","0","0","0","0","7","0","0","0","0","0","0","0","0","27"
"41","Adizata","Ahferom","Early","0","0","100","0","0","100","100","100","100","100","0","0","0","0","0","0","100","0","100","100","0","0","0","0","0","100","0","0","0","0","100","100","100","0","100","100","0"
"42","Adizata","Ahferom","Late","11","0","0","0","65","0","6","3","0","0","0","0","0","0","22","0","0","0","24","0","0","22","0","0","0","0","0","7","0","0","0","0","0","0","0","0","27"
"43","Adreb","Naeder-Adet","Early","0","78","0","0","0","0","0","92","0","22","0","0","0","0","0","0","0","0","0","86","0","11","0","0","0","0","0","0","0","0","0","0","61","0","0","0","0"
"44","Adreb","Naeder-Adet","Late","0","0","0","0","0","0","0","58","0","28","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","AgazenMeda","Goncha Siso Enesie","Early","68","0","0","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","6","85","0","0","0","52","0","24","0","0","0","0","100","0","0"
"46","AgazenMeda","Goncha Siso Enesie","Late","31","22","0","0","32","0","0","0","0","90","22","0","0","0","0","0","0","0","0","0","0","40","0","40","0","0","0","0","2","0","0","0","7","0","0","0","0"
"47","Agazi","SaesiTsaedaemba","Early","0","100","100","0","100","100","100","100","0","100","0","100","100","0","0","0","100","0","100","100","0","100","0","100","0","100","0","100","0","0","100","100","0","0","100","0","0"
"48","Agazi","SaesiTsaedaemba","Late","50","0","0","0","41","0","21","0","22","0","0","0","0","38","0","0","0","0","0","64","79","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","2"
"49","Agbe","TanquaAbergele","Early","0","67","91","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","71","94","0","0","23","0","0","0","14","0","0","0","100","100","0","0","0","0","0"
"50","Agbe","TanquaAbergele","Late","0","65","0","0","16","0","19","63","0","31","0","0","0","0","42","0","0","0","0","28","0","0","0","1","0","0","0","0","0","0","16","0","0","0","0","0","0"
"51","Agela","Libo Kemkem","Early","53","0","0","2","0","0","0","0","38","4","0","0","0","0","0","0","6","0","0","0","0","82","0","0","0","0","0","16","0","0","0","38","0","0","19","0","0"
"52","Agela","Libo Kemkem","Late","0","0","0","0","48","0","0","0","0","0","2","0","0","0","8","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"53","Agid","Libo Kemkem","Early","0","0","4","0","0","0","0","0","39","35","0","0","0","0","0","0","41","26","0","0","0","79","20","0","0","0","0","31","0","1","0","0","0","0","0","0","0"
"54","Agid","Libo Kemkem","Late","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","AlemeTesfa","Enesie Sar Midir","Early","45","0","100","0","0","0","100","0","0","0","0","0","0","0","0","0","0","39","0","0","0","4","0","100","0","0","0","0","0","0","100","100","0","0","100","0","0"
"56","AlemeTesfa","Enesie Sar Midir","Late","31","21","0","0","33","0","0","0","0","75","39","0","0","0","0","0","0","0","0","0","0","17","0","66","0","0","0","0","0","0","0","0","87","0","0","0","0"
"57","AmdiWeyane","Samre","Early","0","11","89","0","0","100","0","83","0","31","0","0","0","0","0","0","0","0","0","99","0","0","0","0","0","0","0","0","0","22","0","75","55","0","0","0","0"
"58","AmdiWeyane","Samre","Late","70","11","0","0","8","0","39","10","0","16","0","0","0","0","0","0","0","0","16","35","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0"
"59","Amedwuha","Emba-Alaje","Early","0","100","100","0","0","0","100","100","0","100","0","100","100","0","0","100","100","0","0","100","0","100","100","100","0","0","100","100","100","0","100","100","100","0","100","100","100"
"60","Amedwuha","Emba-Alaje","Late","27","93","0","21","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","3","0","0","0","0","12","22","0","0","0","0"
"61","Ameno","Libo Kemkem","Early","0","0","6","0","0","0","0","0","0","100","0","0","0","0","0","0","0","2","0","0","0","52","0","0","0","0","0","42","0","0","0","12","0","0","3","0","0"
"62","Ameno","Libo Kemkem","Late","0","1","0","0","54","0","0","0","0","35","0","0","40","0","40","0","0","0","0","0","0","56","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0"
"63","Amisetya","Ibinat","Early","0","0","0","0","0","0","0","0","0","100","0","0","46","0","0","100","0","0","0","0","37","0","0","100","0","0","0","100","100","0","0","100","0","0","0","0","0"
"64","Amisetya","Ibinat","Late","28","7","0","0","82","0","0","10","0","19","26","0","3","0","0","0","0","0","0","0","0","13","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Angot","Goncha Siso Enesie","Early","60","0","0","0","0","9","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","73","38","0","0","0","68","0","0"
"66","Angot","Goncha Siso Enesie","Late","56","40","1","0","56","0","0","0","0","69","69","0","0","0","0","0","0","0","0","0","0","58","0","69","0","0","0","0","9","0","0","0","0","0","0","0","0"
"67","Anigot","Libo Kemkem","Early","53","0","0","2","0","0","0","0","38","4","0","0","0","0","0","0","6","0","0","0","0","82","0","0","0","0","0","16","0","0","0","38","0","0","19","0","0"
"68","Anigot","Libo Kemkem","Late","0","0","0","0","48","0","0","0","0","0","2","0","0","0","8","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"69","Ansheb","Shebel Berenta","Early","78","0","100","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","13","25","0","0","0","0","0","0","0","100","0","0","100","0","0"
"70","Ansheb","Shebel Berenta","Late","25","27","0","0","87","0","0","10","2","77","0","0","0","0","0","0","0","0","0","0","0","25","0","6","0","0","0","0","0","0","0","0","56","0","0","0","0"
"71","AquaShumoch","Ibinat","Early","77","0","0","0","0","0","68","6","0","70","2","0","0","0","0","0","0","0","0","0","6","0","0","88","0","0","0","0","0","0","72","0","0","0","6","0","0"
"72","AquaShumoch","Ibinat","Late","0","17","0","0","67","0","0","0","0","0","50","0","17","0","12","0","0","0","0","0","0","33","0","0","0","0","5","0","0","0","0","0","0","0","0","50","0"
"73","Aquha","Ibinat","Early","0","0","0","0","0","0","100","0","0","100","0","0","0","0","0","100","0","0","0","0","31","0","0","100","0","0","0","100","100","0","0","100","0","0","0","0","0"
"74","Aquha","Ibinat","Late","38","0","0","0","70","0","0","12","0","19","33","0","1","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","4","0","0","0","46"
"75","Arena","Werieleke","Early","0","0","100","0","0","0","100","0","0","100","0","0","100","0","0","0","100","0","100","100","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0"
"76","Arena","Werieleke","Late","38","11","0","0","69","0","0","24","0","4","0","0","0","0","24","0","0","0","0","12","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56"
"77","Asmena","SaesiTsaedaemba","Early","0","100","100","0","100","100","100","100","100","100","0","100","100","0","0","0","100","0","0","100","0","100","0","100","0","100","100","100","0","0","0","100","100","0","100","100","100"
"78","Asmena","SaesiTsaedaemba","Late","28","75","0","0","92","0","75","0","50","0","0","0","0","0","0","0","0","0","0","25","12","7","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0"
"79","Asta","Libo Kemkem","Early","59","0","0","0","0","0","0","0","15","100","0","0","0","0","0","0","0","0","0","0","8","50","11","0","0","0","0","0","0","0","0","21","0","0","3","0","0"
"80","Asta","Libo Kemkem","Late","0","0","0","53","53","0","0","0","0","18","0","0","0","0","44","0","0","0","0","0","0","59","0","0","2","0","0","17","0","0","0","0","0","0","0","0","0"
"81","Atakilti","KolaTembien","Early","0","100","44","0","0","0","0","66","0","100","0","0","0","0","0","0","0","0","42","0","0","0","0","0","57","0","0","0","0","0","91","68","0","0","0","0","0"
"82","Atakilti","KolaTembien","Late","0","43","0","0","0","0","0","70","45","18","0","0","0","0","0","0","0","11","0","45","0","59","0","0","0","0","0","38","0","0","4","0","0","0","0","0","0"
"83","AwetBikalsi","KolaTembien","Early","0","50","0","0","0","0","0","0","0","100","0","0","100","0","0","0","0","0","94","100","0","0","0","0","100","100","11","0","0","0","25","0","0","0","0","0","0"
"84","AwetBikalsi","KolaTembien","Late","0","45","0","0","62","0","0","39","0","19","0","0","0","0","0","0","0","0","0","2","7","33","0","60","0","0","0","2","0","0","0","0","0","0","13","0","0"
"85","AwusaMeda","Enesie Sar Midir","Early","45","0","100","0","0","0","100","0","0","0","0","0","0","0","0","0","0","39","0","0","0","4","0","100","0","0","0","0","0","0","100","100","0","0","100","0","0"
"86","AwusaMeda","Enesie Sar Midir","Late","31","21","0","0","33","0","0","0","0","75","39","0","0","0","0","0","0","0","0","0","0","17","0","66","0","0","0","0","0","0","0","0","87","0","0","0","0"
"87","Ayba","Emba-Alaje","Early","100","100","100","0","100","100","100","100","0","100","0","100","100","0","0","100","100","100","0","0","0","100","100","100","0","100","100","100","100","0","100","100","100","0","100","0","100"
"88","Ayba","Emba-Alaje","Late","0","100","0","0","91","0","0","0","0","0","0","0","23","0","0","0","0","0","0","14","0","15","0","0","0","0","0","0","0","0","0","31","36","0","0","1","24"
"89","Aynalem","KinteAwelo","Early","0","0","0","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","0","100","0","100","100","100","100","0","0","100","0","0","0","100","0","100"
"90","Aynalem","KinteAwelo","Late","19","59","8","0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","51","8","0","19","0","0","0","0","0","0","0","0","0","0","0","0","2"
"91","Bala","RayaAzebo","Early","0","100","100","0","100","100","100","100","100","100","100","100","100","0","0","100","100","0","0","0","100","100","100","100","100","0","100","100","0","0","100","100","100","100","0","100","0"
"92","Bala","RayaAzebo","Late","40","100","0","17","68","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","0","44","100","0","0","0","0"
"93","Balarab","Ibinat","Early","0","0","0","0","0","0","0","0","0","100","0","0","46","0","0","100","0","0","0","0","37","0","0","100","0","0","0","100","100","0","0","100","0","0","0","0","0"
"94","Balarab","Ibinat","Late","28","7","0","0","82","0","0","10","0","19","26","0","3","0","0","0","0","0","0","0","0","13","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Bamba","Samre","Early","0","80","71","0","0","18","0","5","0","49","0","0","0","0","0","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0"
"96","Bamba","Samre","Late","52","24","0","0","14","0","40","66","0","48","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","64","0","0","0","0"
"97","BarkaAdiswha","Atsbi","Early","0","0","0","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","100","100","0","0","100","100","100","0","0","100","0","0","0","0","100","100"
"98","BarkaAdiswha","Atsbi","Late","0","16","0","0","91","0","31","0","0","0","0","0","0","0","0","0","0","0","0","62","51","1","0","16","0","0","0","0","0","0","0","0","0","0","27","0","41"
"99","Begasheka","KolaTembien","Early","0","100","48","0","0","0","0","68","0","100","0","0","0","0","0","0","0","0","21","0","0","0","20","0","0","0","0","0","0","0","86","78","0","0","0","0","0"
"100","Begasheka","KolaTembien","Late","0","46","0","0","0","0","0","66","0","2","0","0","0","0","0","0","0","1","0","38","0","60","0","0","0","0","0","28","0","0","9","0","12","0","0","2","0"
"101","Berlay","Enesie Sar Midir","Early","68","0","100","0","32","0","100","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","100","100","0","0","100","0","0"
"102","Berlay","Enesie Sar Midir","Late","20","8","0","23","21","0","0","0","0","84","29","0","0","0","0","0","0","0","0","0","0","0","0","84","0","0","0","0","0","0","0","0","44","0","0","0","0"
"103","Betgebez","Ahferom","Early","0","0","100","0","0","100","100","100","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","100","0","100","0","0","0","100","100","0","100","100","0"
"104","Betgebez","Ahferom","Late","0","6","0","0","91","0","4","0","0","0","0","0","0","51","0","0","0","0","0","1","0","3","0","54","0","0","0","0","39","0","0","0","1","0","0","0","63"
"105","Bethans","Adwa","Early","0","0","0","0","0","32","0","100","0","45","0","0","2","0","0","0","66","0","100","36","0","0","41","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"106","Bethans","Adwa","Late","52","0","0","0","0","0","18","27","0","0","0","0","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","31","7","0","6","0","20","0","0","0","9"
"107","BilbWuha","Libo Kemkem","Early","45","0","43","0","0","0","0","90","0","100","0","0","0","0","0","0","2","81","0","0","0","27","0","0","0","0","0","29","0","0","0","0","0","31","0","0","0"
"108","BilbWuha","Libo Kemkem","Late","0","0","0","0","0","0","13","28","0","32","0","0","0","0","29","0","0","0","0","0","0","65","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Birkutea","Libo Kemkem","Early","80","0","20","0","0","0","0","0","21","0","0","0","0","0","0","0","48","0","0","0","1","69","0","0","0","0","0","0","0","0","46","48","0","0","22","0","0"
"110","Birkutea","Libo Kemkem","Late","0","0","0","0","46","0","0","0","0","5","0","0","41","0","20","0","0","0","0","0","10","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Boneya","Shebel Berenta","Early","55","0","100","0","0","40","18","3","0","0","0","0","0","0","0","28","0","4","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","100","0","0"
"112","Boneya","Shebel Berenta","Late","60","63","17","0","54","0","0","0","0","70","0","0","1","0","0","0","0","0","0","1","0","55","0","0","0","0","0","16","0","0","0","0","58","0","0","0","0"
"113","Burkoche","Ibinat","Early","0","0","0","0","0","0","100","0","0","100","100","0","100","0","0","100","0","0","0","0","0","0","0","100","0","0","0","100","100","0","0","100","0","0","0","0","0"
"114","Burkoche","Ibinat","Late","32","0","0","0","84","0","0","0","0","25","32","0","15","0","0","0","0","0","7","2","0","37","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0"
"115","Cheli","Samre","Early","0","0","85","0","0","0","0","17","0","54","0","0","32","0","0","0","0","0","0","100","0","27","0","0","63","0","0","0","0","0","36","100","0","0","0","0","0"
"116","Cheli","Samre","Late","40","50","0","0","15","0","0","27","0","32","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","14","0","0","0","0","0","73","0","0","0","0"
"117","Darubekeda","Ofla","Early","0","100","100","0","100","100","100","100","0","100","100","100","100","0","0","100","0","100","0","100","0","0","0","100","0","100","100","100","100","0","100","100","100","0","100","0","100"
"118","Darubekeda","Ofla","Late","29","100","0","0","80","0","1","0","0","37","0","0","0","0","0","0","0","0","0","0","9","23","0","0","0","0","7","0","0","0","0","0","97","0","0","0","0"
"119","Deberkerbye","Medebay-Zana","Early","0","0","0","0","0","0","0","78","26","0","0","0","0","0","0","0","16","44","0","19","0","32","0","0","0","0","0","0","0","0","21","0","47","0","0","0","0"
"120","Deberkerbye","Medebay-Zana","Late","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","DeberAbaJale","Ibinat","Early","82","0","8","0","0","0","0","0","0","87","0","0","0","0","0","0","32","0","0","0","0","74","0","0","0","0","0","17","0","0","81","32","0","0","2","0","0"
"122","DeberAbaJale","Ibinat","Late","0","71","0","0","54","0","0","0","0","39","0","0","41","0","32","0","0","0","0","0","1","60","0","0","0","0","0","11","0","0","0","0","0","0","0","0","10"
"123","DebrAbay","Enesie Sar Midir","Early","48","0","100","0","93","0","21","90","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","100","0","0"
"124","DebrAbay","Enesie Sar Midir","Late","12","0","0","13","20","0","0","5","0","52","57","0","0","0","0","0","0","0","0","0","0","0","0","76","0","0","0","0","0","0","0","0","27","0","0","0","0"
"125","DebreAliays","Enesie Sar Midir","Early","69","0","100","0","0","12","100","16","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","100","0","0"
"126","DebreAliays","Enesie Sar Midir","Late","21","2","0","28","60","0","0","0","0","83","28","0","2","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","64","0","0","0","0"
"127","Debrebirhan","Hawzien","Early","0","0","0","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","100","100","0","100","100","100","100","0","0","100","0","0","0","100","0","100"
"128","Debrebirhan","Hawzien","Late","13","28","0","0","90","0","20","0","0","0","0","0","0","0","0","0","0","0","0","75","31","1","0","35","0","0","0","0","0","0","0","0","0","0","0","0","33"
"129","Debrebrhan","KinteAwelo","Early","0","0","0","0","0","100","100","100","0","100","0","0","100","0","0","0","100","0","100","100","0","0","100","0","100","0","100","0","0","0","100","0","0","0","0","0","100"
"130","Debrebrhan","KinteAwelo","Late","25","28","0","0","88","0","0","0","0","39","0","0","0","0","0","0","0","10","0","55","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"131","DebreGenet","Enesie Sar Midir","Early","56","0","0","0","27","0","100","26","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","44","50","0","0","0","100","0","0"
"132","DebreGenet","Enesie Sar Midir","Late","29","19","0","0","29","0","0","0","0","82","37","0","0","0","0","0","0","0","0","0","0","12","0","85","0","0","0","0","0","4","0","0","38","0","0","0","0"
"133","DebreGenetA","Adwa","Early","0","28","81","0","0","0","2","100","73","100","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","15","0","0","0","0","0","34","100","0","0","0","0"
"134","DebreGenetA","Adwa","Late","0","54","0","0","39","0","0","50","0","0","0","0","0","0","0","0","0","0","67","0","0","58","0","0","0","0","0","37","0","0","9","0","3","0","0","0","42"
"135","DebreGenetK","KolaTembien","Early","0","100","12","0","0","0","0","93","0","100","0","0","0","0","0","0","0","0","89","0","0","0","0","0","38","100","0","0","0","0","74","34","0","0","0","0","0"
"136","DebreGenetK","KolaTembien","Late","0","37","0","0","0","0","0","67","0","29","0","0","0","31","0","0","0","0","0","28","0","10","0","0","0","0","0","19","0","0","7","0","0","0","0","0","0"
"137","DebreGeorgis","Enesie Sar Midir","Early","45","0","100","0","0","0","100","0","0","0","0","0","0","0","0","0","0","39","0","0","0","4","0","100","0","0","0","0","0","0","100","100","0","0","100","0","0"
"138","DebreGeorgis","Enesie Sar Midir","Late","31","21","0","0","33","0","0","0","0","75","39","0","0","0","0","0","0","0","0","0","0","17","0","66","0","0","0","0","0","0","0","0","87","0","0","0","0"
"139","DebreKidusan","Enesie Sar Midir","Early","70","0","0","0","56","0","0","96","0","99","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","100","0","0","0","100","0","0"
"140","DebreKidusan","Enesie Sar Midir","Late","19","7","0","0","21","0","0","14","0","80","33","0","0","0","2","0","0","0","0","0","0","0","0","71","0","0","0","0","0","0","0","0","55","0","0","0","0"
"141","Debremawie","Enesie Sar Midir","Early","68","0","100","0","32","0","100","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","100","100","0","0","100","0","0"
