"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1-Apr",0.4196931,0,1.650647685,0.3793407,0,0,0,6.468158,0,4.179306,4.670781,1.650647685,1.650647685,0,0,0,0,0.3050049,0.1832396,0,0.8305234,5.211123,0,0,0,0.02490999,4.306394,0,0,0.2982776,5.213803,1.655265,0,15.15632,0,6.819882,0
"2-Apr",0,0,0.550396800882353,2.570884,3.470602,0,1.617508,0,0,0,3.385164,0.550396800882353,0.550396800882353,0,0,0,0,1.424155,0,2.096324,2.182158,0.1114486,0,0,0,0,0,0,0,0.1484288,0.05660823,0,0,0.0366726,0,0,1.613538
"3-Apr",0,0,1.772969683,12.8752,5.698006,0,0.01424546,0.09205569,0.380635,0,0,1.772969683,1.772969683,0,13.4898,0,0,4.761683,0,9.044235,0,0,0,0,4.888103,0,0,0.05926287,0,2.106686,0.3858398,5.424423,0,0.08517873,0,0.001383472,0.9742322
"4-Apr",0.2477048,0,1.52538026882353,2.940503,0.03163504,0,0,3.592252,0,0,0.5037033,1.52538026882353,1.52538026882353,2.539789,0,0,0,9.529177,0,6.001735,0,14.15409,0,0,3.646862,0,0,0,0,4.108568,2.830148,0,0,0,0,1.633024,0.103738
"5-Apr",0,0,1.50612392882353,0,0.3014494,0,0,2.7899,0,2.613873,0.1468551,1.50612392882353,1.50612392882353,0.5367809,5.513986,0,0,18.00838,0,0.5976569,0,4.627528,0,5.602596,0.4481634,0,0.1208218,3.983536,0,0.09701428,2.851315,0,0,0,0,0.0804488,2.887909
"6-Apr",1.92650389542857,0,0,0,9.963914,0.08022275,0,0.8987926,0.01439001,0,2.267195,0,1.92650389542857,0.9373271,4.26049,0,0,20.27036,0,5.249413,0,1.034457,0,0.1565559,1.033476,0,1.777559,5.756218,2.159517,0,0.8421373,0.127102,0,4.248609,0,0.08107068,6.26883
"7-Apr",1.384523688,0,1.332043,0,0.8745566,14.80266,0,0,5.541371,0,2.562865,0,1.384523688,4.02621,5.052453,0,0,0.7469276,0,5.444105,0,0,0,0.01882088,0,0,0,1.005421,7.050896,0,0,0,0,0,0,0,0
"8-Apr",1.1880439378,0,0,0,0,0,0.6055922,0,0.008854223,0,4.215284,0,1.1880439378,1.719389,10.51509,0,0,0,0,3.830684,0,3.287954,0,10.09594,0,0.2311341,0.1004344,0,5.866503,0,0.307878,0,0,0.101989,0,0.6948119,0
"9-Apr",1.08988120885714,0,4.073667,2.122169,3.311502,8.062464,1.336868,0.6150382,0,0,4.309189,0,1.08988120885714,0,0.2517469,0,0,0,0,7.23812,0,0,0,0.5464762,2.280374,2.771543,0,0.357985,0,0,0.5782318,0,0,0,0,0.2793971,0.01107111
"10-Apr",1.69274290057143,0,1.552238,0.014946,1.424355,2.834519,0,0,2.391102,0,11.22957,0,1.69274290057143,0,0,0,0,0,0,0,0,0.09653628,0,6.885048,0.3476959,6.544297,5.695912,0.1079521,0.2986505,8.463453,0.03100374,2.197257,0,0,0,2.075373,7.056093
"11-Apr",5.196984,0,6.712853,0,0,0,0,0,0,0,2.07829254055556,0,4.232491,0,0,0,0.01107276,0,0,0,0,1.073167,0,0.115341,7.824486,8.996208,2.279812,10.04766,0,0.6495187,1.545246,7.348979,0,1.82131,0,3.462133,13.50127
